term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002485,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",0.003%, 0.179,-0.370,0.602,-1.5735,0.973,0.000,2485,0
GO:0002488,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway",0.003%,null,null,0.602,-1.5735,0.972,0.972,2485,1
GO:0002489,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",0.003%,null,null,0.602,-1.5735,0.972,0.831,2485,1
GO:0007049,"cell cycle",3.703%,-1.081,-0.456,3.512,-3.7696,0.894,0.000,7049,0
GO:0050999,"regulation of nitric-oxide synthase activity",0.060%,-1.321, 1.889,1.732,-3.0362,0.885,0.000,50999,0
GO:0032768,"regulation of monooxygenase activity",0.082%,null,null,1.863,-2.5482,0.883,0.907,50999,1
GO:0051592,"response to calcium ion",0.224%, 0.134,-0.450,2.297,-2.0580,0.975,0.000,51592,0
GO:0071277,"cellular response to calcium ion",0.075%,null,null,1.826,-1.6486,0.933,0.756,51592,1
GO:0048532,"anatomical structure arrangement",0.092%, 4.872,-5.255,1.914,-1.8649,0.938,0.018,48532,0
GO:0015833,"peptide transport",0.612%, 2.952, 0.158,2.731,-2.3507,0.876,0.023,15833,0
GO:0090087,"regulation of peptide transport",0.458%,null,null,2.605,-1.5574,0.848,0.946,15833,1
GO:0050796,"regulation of insulin secretion",0.352%,null,null,2.491,-1.7167,0.735,0.952,15833,1
GO:0046879,"hormone secretion",0.615%,null,null,2.733,-1.6538,0.774,0.956,15833,1
GO:0030072,"peptide hormone secretion",0.490%,null,null,2.634,-2.1409,0.760,0.977,15833,1
GO:0030073,"insulin secretion",0.422%,null,null,2.569,-2.3947,0.763,0.939,15833,1
GO:0042886,"amide transport",0.679%,null,null,2.776,-2.3072,0.886,0.771,15833,1
GO:0002790,"peptide secretion",0.500%,null,null,2.643,-2.0773,0.874,0.954,15833,1
GO:0002791,"regulation of peptide secretion",0.394%,null,null,2.540,-1.5955,0.846,0.959,15833,1
GO:0090276,"regulation of peptide hormone secretion",0.391%,null,null,2.537,-1.6347,0.733,0.985,15833,1
GO:0014883,"transition between fast and slow fiber",0.007%, 4.195,-4.375,0.845,-1.5735,0.897,0.050,14883,0
GO:0010332,"response to gamma radiation",0.131%,-0.233,-0.103,2.064,-1.3472,0.986,0.062,10332,0
GO:0006213,"pyrimidine nucleoside metabolic process",0.133%,-6.596,-1.938,2.072,-3.6021,0.729,0.087,6213,0
GO:0046385,"deoxyribose phosphate biosynthetic process",0.024%,null,null,1.342,-2.1720,0.781,0.859,6213,1
GO:0009139,"pyrimidine nucleoside diphosphate biosynthetic process",0.009%,null,null,0.954,-1.5735,0.752,0.987,6213,1
GO:0006240,"dCDP biosynthetic process",0.002%,null,null,0.477,-1.5735,0.702,0.899,6213,1
GO:0046062,"dCDP metabolic process",0.002%,null,null,0.477,-1.5735,0.723,0.899,6213,1
GO:0006203,"dGTP catabolic process",0.005%,null,null,0.699,-1.5735,0.762,0.880,6213,1
GO:0006220,"pyrimidine nucleotide metabolic process",0.148%,null,null,2.117,-2.7747,0.722,0.920,6213,1
GO:0009194,"pyrimidine ribonucleoside diphosphate biosynthetic process",0.002%,null,null,0.477,-1.5735,0.766,0.962,6213,1
