term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0010046,"response to mycotoxin",0.009%,-0.384,-2.817,0.954,-2.1337,0.959,0.000,10046,0
GO:0016226,"iron-sulfur cluster assembly",0.047%, 1.305,-2.381,1.623,-2.2140,0.839,0.000,16226,0
GO:0051881,"regulation of mitochondrial membrane potential",0.095%,-0.773, 0.042,1.924,-3.3188,0.900,0.000,51881,0
GO:0060325,"face morphogenesis",0.182%,-5.476, 2.851,2.207,-2.6126,0.898,0.000,60325,0
GO:0060324,"face development",0.209%,null,null,2.265,-2.2204,0.907,0.966,60325,1
GO:0060323,"head morphogenesis",0.191%,null,null,2.228,-2.4045,0.898,0.970,60325,1
GO:0009399,"nitrogen fixation",0.001%, 0.664, 2.086,0.301,-1.4448,0.915,0.029,9399,0
GO:0090346,"cellular organofluorine metabolic process",0.002%,-0.695, 0.775,0.477,-1.4448,0.925,0.030,90346,0
GO:0071461,"cellular response to redox state",0.001%,-0.402, 0.591,0.301,-1.4448,0.979,0.038,71461,0
GO:0043497,"regulation of protein heterodimerization activity",0.016%, 0.934, 0.208,1.176,-1.9219,0.905,0.042,43497,0
GO:0043496,"regulation of protein homodimerization activity",0.028%,null,null,1.415,-1.9048,0.901,0.712,43497,1
GO:0090345,"cellular organohalogen metabolic process",0.002%,-0.610, 0.733,0.477,-1.4448,0.925,0.047,90345,0
GO:0007264,"small GTPase mediated signal transduction",2.633%, 3.011,-5.670,3.364,-2.8386,0.761,0.062,7264,0
GO:1902531,"regulation of intracellular signal transduction",3.702%,null,null,3.512,-1.4438,0.732,0.727,7264,1
GO:0009966,"regulation of signal transduction",5.885%,null,null,3.713,-2.0825,0.726,0.830,7264,1
GO:0010248,"establishment or maintenance of transmembrane electrochemical gradient",0.005%,-0.676,-0.489,0.699,-2.4237,0.916,0.064,10248,0
GO:0034381,"plasma lipoprotein particle clearance",0.076%,-5.337, 2.735,1.833,-1.6680,0.895,0.065,34381,0
GO:0010225,"response to UV-C",0.027%,-1.908, 0.137,1.398,-2.3401,0.954,0.067,10225,0
GO:0009650,"UV protection",0.023%,null,null,1.322,-1.4069,0.954,0.712,10225,1
GO:0009411,"response to UV",0.269%,null,null,2.375,-1.4610,0.949,0.707,10225,1
GO:0010629,"negative regulation of gene expression",2.446%, 5.809, 2.748,3.332,-2.7959,0.685,0.096,10629,0
GO:0031324,"negative regulation of cellular metabolic process",3.678%,null,null,3.509,-2.0680,0.659,0.884,10629,1
GO:1902679,"negative regulation of RNA biosynthetic process",2.216%,null,null,3.289,-2.2933,0.590,0.971,10629,1
GO:0031327,"negative regulation of cellular biosynthetic process",2.588%,null,null,3.356,-1.6972,0.640,0.961,10629,1
GO:0051253,"negative regulation of RNA metabolic process",2.255%,null,null,3.297,-2.2480,0.603,0.952,10629,1
GO:0045934,"negative regulation of nucleobase-containing compound metabolic process",2.434%,null,null,3.330,-2.1278,0.616,0.960,10629,1
GO:0045892,"negative regulation of transcription, DNA-templated",2.182%,null,null,3.282,-2.1805,0.589,0.845,10629,1
GO:0010605,"negative regulation of macromolecule metabolic process",3.670%,null,null,3.508,-1.7951,0.677,0.936,10629,1
GO:0010558,"negative regulation of macromolecule biosynthetic process",2.484%,null,null,3.339,-1.6739,0.660,0.966,10629,1
GO:2000113,"negative regulation of cellular macromolecule biosynthetic process",2.396%,null,null,3.323,-1.5476,0.627,0.954,10629,1
GO:0009890,"negative regulation of biosynthetic process",2.615%,null,null,3.361,-1.7857,0.692,0.890,10629,1
GO:0051172,"negative regulation of nitrogen compound metabolic process",2.487%,null,null,3.339,-2.2549,0.666,0.835,10629,1
GO:0019222,"regulation of metabolic process",17.756%, 2.286, 2.389,4.193,-2.8477,0.850,0.131,19222,0
GO:1901068,"guanosine-containing compound metabolic process",2.687%, 4.503, 5.374,3.373,-2.7167,0.672,0.132,1901068,0
GO:0072683,"T cell extravasation",0.008%,-1.245,-0.261,0.903,-1.4448,0.886,0.139,72683,0
GO:2000407,"regulation of T cell extravasation",0.006%,null,null,0.778,-1.4448,0.827,0.965,72683,1
GO:0035698,"CD8-positive, alpha-beta cytotoxic T cell extravasation",0.005%,null,null,0.699,-1.4448,0.880,0.978,72683,1
GO:0035697,"CD8-positive, alpha-beta T cell extravasation",0.006%,null,null,0.778,-1.4448,0.880,0.955,72683,1
GO:2000409,"positive regulation of T cell extravasation",0.005%,null,null,0.699,-1.4448,0.813,0.989,72683,1
GO:2000451,"positive regulation of CD8-positive, alpha-beta T cell extravasation",0.005%,null,null,0.699,-1.4448,0.812,0.770,72683,1
GO:2000452,"regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation",0.005%,null,null,0.699,-1.4448,0.828,0.978,72683,1
GO:2000449,"regulation of CD8-positive, alpha-beta T cell extravasation",0.006%,null,null,0.778,-1.4448,0.826,0.989,72683,1
GO:2000454,"positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation",0.003%,null,null,0.602,-1.4448,0.815,0.986,72683,1
GO:0065009,"regulation of molecular function",6.209%, 0.165, 0.774,3.736,-1.7199,0.919,0.145,65009,0
GO:0051085,"chaperone mediated protein folding requiring cofactor",0.052%, 2.261, 2.346,1.672,-1.4069,0.865,0.150,51085,0
GO:0071169,"establishment of protein localization to chromatin",0.007%,-1.693,-0.590,0.845,-1.4448,0.962,0.153,71169,0
GO:0006725,"cellular aromatic compound metabolic process",24.907%, 3.356, 5.017,4.340,-2.1844,0.813,0.200,6725,0
GO:0006807,"nitrogen compound metabolic process",26.566%, 1.536, 4.342,4.368,-2.0362,0.892,0.201,6807,0
GO:1901360,"organic cyclic compound metabolic process",25.430%, 2.953, 4.379,4.349,-1.9763,0.838,0.202,1901360,0
GO:0002021,"response to dietary excess",0.036%,-5.223, 2.045,1.519,-1.4069,0.921,0.213,2021,0
GO:0070988,"demethylation",0.408%, 0.776, 2.158,2.555,-2.0074,0.881,0.214,70988,0
GO:0071279,"cellular response to cobalt ion",0.001%, 0.618,-5.218,0.301,-1.4448,0.914,0.216,71279,0
GO:0032805,"positive regulation of low-density lipoprotein particle receptor catabolic process",0.001%, 5.736, 0.762,0.301,-1.4448,0.747,0.216,32805,0
GO:2000646,"positive regulation of receptor catabolic process",0.001%,null,null,0.301,-1.4448,0.759,0.829,32805,1
GO:0032988,"ribonucleoprotein complex disassembly",0.018%,-1.196,-4.476,1.230,-1.7562,0.874,0.225,32988,0
GO:0071897,"DNA biosynthetic process",0.291%, 4.942, 5.623,2.408,-1.8834,0.775,0.227,71897,0
GO:0006860,"extracellular amino acid transport",0.002%,-1.545,-0.410,0.477,-1.4448,0.956,0.227,6860,0
GO:0050847,"progesterone receptor signaling pathway",0.008%, 2.091,-5.016,0.903,-1.9219,0.855,0.235,50847,0
GO:0048518,"positive regulation of biological process",28.712%, 1.903,-0.213,4.401,-1.8557,0.894,0.236,48518,0
GO:0043602,"nitrate catabolic process",0.005%, 2.490, 4.122,0.699,-1.4448,0.789,0.254,43602,0
GO:0014012,"peripheral nervous system axon regeneration",0.018%,-4.962,-2.786,1.230,-2.4237,0.781,0.256,14012,0
GO:0007072,"positive regulation of transcription on exit from mitosis",0.001%, 4.851,-0.858,0.301,-1.4448,0.729,0.256,7072,0
GO:0010726,"positive regulation of hydrogen peroxide metabolic process",0.002%, 4.825,-1.182,0.477,-1.4448,0.811,0.256,10726,0
GO:0010728,"regulation of hydrogen peroxide biosynthetic process",0.002%,null,null,0.477,-1.4448,0.809,0.849,10726,1
GO:0010729,"positive regulation of hydrogen peroxide biosynthetic process",0.001%,null,null,0.301,-1.4448,0.800,0.906,10726,1
GO:2000326,"negative regulation of ligand-dependent nuclear receptor transcription coactivator activity",0.001%, 1.585,-0.227,0.301,-1.4448,0.873,0.259,2000326,0
GO:0002352,"B cell negative selection",0.009%,-6.062, 3.025,0.954,-2.4237,0.868,0.259,2352,0
GO:0048583,"regulation of response to stimulus",26.518%, 1.838,-0.664,4.367,-1.5452,0.881,0.273,48583,0
GO:0050810,"regulation of steroid biosynthetic process",0.133%, 5.816, 4.220,2.072,-1.8225,0.744,0.275,50810,0
GO:0019218,"regulation of steroid metabolic process",0.175%,null,null,2.190,-1.8684,0.765,0.796,50810,1
GO:0048569,"post-embryonic organ development",0.038%,-6.342, 3.192,1.531,-2.1007,0.911,0.281,48569,0
GO:0070555,"response to interleukin-1",0.154%,-0.044,-2.689,2.134,-1.4515,0.947,0.283,70555,0
GO:0090045,"positive regulation of deacetylase activity",0.007%, 4.090, 0.907,0.845,-1.7562,0.830,0.284,90045,0
GO:0021560,"abducens nerve development",0.001%,-5.708, 2.768,0.301,-1.4448,0.919,0.286,21560,0
GO:0048522,"positive regulation of cellular process",8.548%, 3.744,-4.535,3.875,-2.3080,0.802,0.289,48522,0
GO:0072702,"response to methyl methanesulfonate",0.001%,-0.269,-2.644,0.301,-1.4448,0.960,0.294,72702,0
GO:0072703,"cellular response to methyl methanesulfonate",0.001%, 0.659,-4.653,0.301,-1.4448,0.914,0.294,72703,0
GO:0046210,"nitric oxide catabolic process",0.005%, 1.896, 2.903,0.699,-1.4448,0.829,0.296,46210,0
GO:0046054,"dGMP metabolic process",0.001%, 2.738, 4.356,0.301,-1.4448,0.816,0.296,46054,0
GO:0006185,"dGDP biosynthetic process",0.001%,null,null,0.301,-1.4448,0.794,0.728,46054,1
GO:0009170,"purine deoxyribonucleoside monophosphate metabolic process",0.001%,null,null,0.301,-1.4448,0.827,0.717,46054,1
GO:0046711,"GDP biosynthetic process",0.001%,null,null,0.301,-1.4448,0.789,0.789,46054,1
GO:0061157,"mRNA destabilization",0.009%, 3.991, 1.282,0.954,-2.4237,0.798,0.298,61157,0
GO:0050779,"RNA destabilization",0.017%,null,null,1.204,-1.9219,0.789,0.775,61157,1
GO:0043488,"regulation of mRNA stability",0.087%,null,null,1.886,-1.5751,0.764,0.886,61157,1
GO:1901030,"positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",0.010%, 1.292,-6.121,1.000,-2.8416,0.681,0.300,1901030,0
GO:1902686,"mitochondrial outer membrane permeabilization involved in programmed cell death",0.066%,null,null,1.771,-1.8661,0.741,0.940,1901030,1
GO:0097345,"mitochondrial outer membrane permeabilization",0.063%,null,null,1.748,-1.9115,0.688,0.934,1901030,1
GO:1902108,"regulation of mitochondrial membrane permeability involved in apoptotic process",0.103%,null,null,1.959,-1.7799,0.732,0.967,1901030,1
GO:1902110,"positive regulation of mitochondrial membrane permeability involved in apoptotic process",0.066%,null,null,1.771,-1.8661,0.738,0.996,1901030,1
GO:0046902,"regulation of mitochondrial membrane permeability",0.125%,null,null,2.045,-1.5514,0.750,0.983,1901030,1
