term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006928,"cellular component movement",3.830%, 0.210,-1.149,3.527,-4.9586,0.888,0.000,6928,0
GO:0007155,"cell adhesion",2.821%, 0.413, 1.212,3.394,-2.6253,0.984,0.000,7155,0
GO:0009605,"response to external stimulus",4.459%, 1.953, 0.690,3.593,-3.3010,0.960,0.000,9605,0
GO:0022610,"biological adhesion",2.826%,-0.467, 1.529,3.395,-2.6144,0.994,0.000,22610,0
GO:0023052,"signaling",17.329%,-1.076, 1.390,4.182,-3.3372,0.995,0.000,23052,0
GO:0032501,"multicellular organismal process",15.657%,-0.671, 1.202,4.138,-3.5376,0.995,0.000,32501,0
GO:0032502,"developmental process",13.055%,-0.496, 1.182,4.059,-2.3565,0.995,0.000,32502,0
GO:0040011,"locomotion",3.285%,-0.485, 0.540,3.460,-4.1308,0.994,0.000,40011,0
GO:0050896,"response to stimulus",47.248%,-0.920, 1.218,4.618,-2.6364,0.997,0.000,50896,0
GO:0051179,"localization",18.927%,-0.267, 0.543,4.220,-1.6983,0.995,0.000,51179,0
GO:0051239,"regulation of multicellular organismal process",5.506%, 1.978,-0.921,3.684,-5.0000,0.916,0.000,51239,0
GO:0065007,"biological regulation",51.216%,-0.812, 1.188,4.653,-2.8210,0.997,0.000,65007,0
GO:0016265,"death",4.501%,-1.109, 1.666,3.597,-1.9735,0.963,0.030,16265,0
GO:0008283,"cell proliferation",4.075%,-0.416, 0.971,3.554,-1.9133,0.963,0.030,8283,0
GO:0000255,"allantoin metabolic process",0.011%, 1.451, 5.106,1.041,-2.8477,0.936,0.034,255,0
GO:0006085,"acetyl-CoA biosynthetic process",0.039%, 0.817, 3.017,1.544,-2.4089,0.929,0.059,6085,0
GO:0006084,"acetyl-CoA metabolic process",0.068%,null,null,1.785,-1.8748,0.934,0.857,6085,1
GO:0035633,"maintenance of blood-brain barrier",0.002%,-0.244, 0.436,0.477,-1.6588,0.935,0.062,35633,0
GO:0006971,"hypotonic response",0.022%, 0.188, 1.189,1.301,-2.3382,0.942,0.068,6971,0
GO:0042539,"hypotonic salinity response",0.001%,null,null,0.301,-1.6588,0.948,0.835,6971,1
GO:0071476,"cellular hypotonic response",0.015%,null,null,1.146,-2.5544,0.896,0.717,6971,1
GO:0071477,"cellular hypotonic salinity response",0.001%,null,null,0.301,-1.6588,0.909,0.835,6971,1
GO:0031638,"zymogen activation",0.198%,-0.405, 1.120,2.243,-1.9197,0.961,0.069,31638,0
GO:0072593,"reactive oxygen species metabolic process",0.387%,-0.546, 0.751,2.533,-1.7875,0.943,0.075,72593,0
GO:0006107,"oxaloacetate metabolic process",0.027%, 1.105, 5.360,1.398,-3.1024,0.882,0.076,6107,0
GO:0043649,"dicarboxylic acid catabolic process",0.024%,null,null,1.342,-1.6358,0.879,0.742,6107,1
GO:0006105,"succinate metabolic process",0.025%,null,null,1.362,-1.7167,0.882,0.744,6107,1
GO:0072577,"endothelial cell apoptotic process",0.047%, 0.624, 0.472,1.623,-2.9172,0.879,0.079,72577,0
GO:0042113,"B cell activation",0.487%,-0.456,-0.466,2.631,-3.0809,0.829,0.101,42113,0
GO:0051249,"regulation of lymphocyte activation",0.741%,null,null,2.814,-1.7258,0.759,0.931,42113,1
GO:0051251,"positive regulation of lymphocyte activation",0.492%,null,null,2.636,-2.1096,0.729,0.982,42113,1
GO:0050865,"regulation of cell activation",0.901%,null,null,2.899,-1.5771,0.777,0.763,42113,1
GO:0050867,"positive regulation of cell activation",0.542%,null,null,2.679,-2.3575,0.738,0.892,42113,1
GO:1902107,"positive regulation of leukocyte differentiation",0.269%,null,null,2.375,-1.6840,0.551,0.896,42113,1
GO:0045621,"positive regulation of lymphocyte differentiation",0.181%,null,null,2.204,-2.5800,0.535,0.897,42113,1
GO:0030098,"lymphocyte differentiation",0.714%,null,null,2.798,-1.5814,0.595,0.833,42113,1
GO:0002696,"positive regulation of leukocyte activation",0.524%,null,null,2.664,-2.5003,0.729,0.771,42113,1
GO:0002694,"regulation of leukocyte activation",0.850%,null,null,2.873,-1.8145,0.758,0.965,42113,1
GO:0045619,"regulation of lymphocyte differentiation",0.287%,null,null,2.403,-2.2541,0.544,0.851,42113,1
GO:0034330,"cell junction organization",0.493%, 0.366,-0.139,2.637,-2.8508,0.876,0.101,34330,0
GO:0045597,"positive regulation of cell differentiation",1.436%,-2.897,-6.857,3.101,-4.1135,0.603,0.115,45597,0
GO:2000026,"regulation of multicellular organismal development",3.472%,null,null,3.484,-3.2076,0.575,0.783,45597,1
GO:0045595,"regulation of cell differentiation",3.246%,null,null,3.455,-2.9393,0.617,0.878,45597,1
GO:0051094,"positive regulation of developmental process",1.985%,null,null,3.241,-3.0410,0.692,0.818,45597,1
GO:0065008,"regulation of biological quality",7.337%, 1.547,-0.762,3.809,-2.2924,0.918,0.118,65008,0
GO:0001775,"cell activation",2.008%, 0.018,-0.734,3.246,-1.7875,0.895,0.121,1775,0
GO:0016477,"cell migration",2.372%, 0.745,-2.118,3.319,-3.0315,0.788,0.124,16477,0
GO:0030334,"regulation of cell migration",1.088%,null,null,2.980,-2.9830,0.718,0.864,16477,1
GO:0030335,"positive regulation of cell migration",0.578%,null,null,2.706,-2.1537,0.695,0.912,16477,1
GO:0051272,"positive regulation of cellular component movement",0.616%,null,null,2.734,-2.4750,0.712,0.894,16477,1
GO:0051270,"regulation of cellular component movement",1.289%,null,null,3.054,-2.6253,0.744,0.775,16477,1
GO:0010633,"negative regulation of epithelial cell migration",0.060%,null,null,1.732,-1.6847,0.610,0.825,16477,1
GO:0010631,"epithelial cell migration",0.363%,null,null,2.505,-2.1688,0.664,0.951,16477,1
GO:0010632,"regulation of epithelial cell migration",0.213%,null,null,2.274,-3.1427,0.587,0.721,16477,1
GO:2000145,"regulation of cell motility",1.154%,null,null,3.006,-2.7352,0.718,0.960,16477,1
GO:2000147,"positive regulation of cell motility",0.590%,null,null,2.715,-2.1057,0.696,0.983,16477,1
GO:0010594,"regulation of endothelial cell migration",0.141%,null,null,2.097,-3.3188,0.597,0.880,16477,1
GO:0010596,"negative regulation of endothelial cell migration",0.041%,null,null,1.568,-2.1085,0.618,0.918,16477,1
GO:0043542,"endothelial cell migration",0.259%,null,null,2.358,-2.3449,0.673,0.967,16477,1
GO:0097485,"neuron projection guidance",0.660%,null,null,2.763,-2.2396,0.522,0.918,16477,1
GO:0043537,"negative regulation of blood vessel endothelial cell migration",0.024%,null,null,1.342,-2.4989,0.630,0.773,16477,1
GO:0043534,"blood vessel endothelial cell migration",0.120%,null,null,2.025,-2.3363,0.689,0.894,16477,1
GO:0043535,"regulation of blood vessel endothelial cell migration",0.070%,null,null,1.792,-2.2048,0.614,0.887,16477,1
GO:0042330,"taxis",1.276%,null,null,3.050,-2.0783,0.860,0.815,16477,1
GO:0048870,"cell motility",2.570%,null,null,3.353,-2.9872,0.786,0.964,16477,1
GO:0002042,"cell migration involved in sprouting angiogenesis",0.056%,null,null,1.699,-1.8236,0.621,0.910,16477,1
GO:0040012,"regulation of locomotion",1.268%,null,null,3.047,-2.3915,0.852,0.815,16477,1
GO:0040017,"positive regulation of locomotion",0.632%,null,null,2.745,-1.9543,0.824,0.900,16477,1
GO:0006935,"chemotaxis",1.276%,null,null,3.050,-2.0783,0.825,0.815,16477,1
GO:0090132,"epithelium migration",0.363%,null,null,2.505,-2.1688,0.759,0.992,16477,1
GO:0001667,"ameboidal cell migration",0.556%,null,null,2.689,-1.9020,0.813,0.799,16477,1
GO:0044236,"multicellular organismal metabolic process",0.220%,-6.627, 2.166,2.288,-2.6498,0.781,0.136,44236,0
