term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",29.354%, 0.485,-1.531,4.411,-3.4815,0.996,0.000,2376,0
GO:0006928,"cellular component movement",3.830%,-0.644, 0.099,3.527,-8.6021,0.906,0.000,6928,0
GO:0007155,"cell adhesion",2.821%, 0.178,-0.854,3.394,-6.6778,0.950,0.000,7155,0
GO:0016337,"single organismal cell-cell adhesion",0.678%,null,null,2.775,-3.5850,0.927,0.810,7155,1
GO:0007160,"cell-matrix adhesion",0.605%,null,null,2.726,-3.1367,0.953,0.799,7155,1
GO:0007162,"negative regulation of cell adhesion",0.202%,null,null,2.250,-2.4283,0.821,0.832,7155,1
GO:0031589,"cell-substrate adhesion",0.798%,null,null,2.846,-3.7212,0.954,0.825,7155,1
GO:0030155,"regulation of cell adhesion",0.746%,null,null,2.817,-5.4202,0.839,0.819,7155,1
GO:0010810,"regulation of cell-substrate adhesion",0.392%,null,null,2.538,-2.5952,0.841,0.900,7155,1
GO:0022407,"regulation of cell-cell adhesion",0.162%,null,null,2.155,-2.4271,0.845,0.846,7155,1
GO:0045785,"positive regulation of cell adhesion",0.418%,null,null,2.566,-3.2291,0.799,0.766,7155,1
GO:0009605,"response to external stimulus",4.459%,-1.478, 0.971,3.593,-7.6576,0.945,0.000,9605,0
GO:0010757,"negative regulation of plasminogen activation",0.010%,-0.537,-0.012,1.000,-4.8861,0.881,0.000,10757,0
GO:0010955,"negative regulation of protein processing",0.140%,null,null,2.093,-2.9706,0.861,0.833,10757,1
GO:0031639,"plasminogen activation",0.028%,null,null,1.415,-2.8861,0.958,0.716,10757,1
GO:0010755,"regulation of plasminogen activation",0.016%,null,null,1.176,-3.3979,0.906,0.910,10757,1
GO:0022610,"biological adhesion",2.826%, 1.084,-1.975,3.395,-6.6383,0.994,0.000,22610,0
GO:0023052,"signaling",17.329%, 0.920,-2.409,4.182,-4.2076,0.995,0.000,23052,0
GO:0032501,"multicellular organismal process",15.657%, 0.627,-1.311,4.138,-9.5086,0.995,0.000,32501,0
GO:0032502,"developmental process",13.055%, 0.606,-1.174,4.059,-5.4089,0.995,0.000,32502,0
GO:0040011,"locomotion",3.285%, 0.380,-0.708,3.460,-7.3098,0.994,0.000,40011,0
GO:0044699,"single-organism process",71.655%, 1.579,-2.514,4.799,-4.4685,0.998,0.000,44699,0
GO:0050896,"response to stimulus",47.248%, 0.757,-2.305,4.618,-4.4437,0.997,0.000,50896,0
GO:0051179,"localization",18.927%, 0.326,-0.549,4.220,-3.3010,0.995,0.000,51179,0
GO:0065007,"biological regulation",51.216%, 0.778,-1.449,4.653,-2.3595,0.997,0.000,65007,0
GO:0001944,"vasculature development",1.399%, 8.035, 0.814,3.090,-6.8239,0.684,0.025,1944,0
GO:0048514,"blood vessel morphogenesis",1.146%,null,null,3.003,-6.2518,0.674,0.927,1944,1
GO:0072358,"cardiovascular system development",2.258%,null,null,3.297,-6.0000,0.670,0.919,1944,1
GO:0001568,"blood vessel development",1.345%,null,null,3.072,-6.2147,0.680,0.959,1944,1
GO:0001525,"angiogenesis",0.910%,null,null,2.903,-5.7447,0.680,0.826,1944,1
GO:1901342,"regulation of vasculature development",0.395%,null,null,2.542,-3.3979,0.646,0.756,1944,1
GO:0008283,"cell proliferation",4.075%, 0.702,-1.089,3.554,-4.8861,0.965,0.029,8283,0
GO:0042127,"regulation of cell proliferation",3.148%,-3.709, 4.342,3.442,-4.9208,0.821,0.062,42127,0
GO:0008284,"positive regulation of cell proliferation",1.657%,null,null,3.163,-2.5784,0.785,0.812,42127,1
GO:0008285,"negative regulation of cell proliferation",1.492%,null,null,3.117,-2.6364,0.797,0.801,42127,1
GO:0072577,"endothelial cell apoptotic process",0.047%, 0.034,-0.476,1.623,-3.6576,0.919,0.079,72577,0
GO:0023056,"positive regulation of signaling",2.489%,-3.635, 6.413,3.339,-3.5086,0.829,0.098,23056,0
GO:0044763,"single-organism cellular process",45.302%,-0.631,-1.432,4.599,-3.2676,0.917,0.103,44763,0
GO:0042493,"response to drug",1.179%,-2.216, 2.451,3.015,-5.8861,0.898,0.105,42493,0
GO:0030198,"extracellular matrix organization",0.708%,-0.423,-3.681,2.794,-6.7696,0.899,0.105,30198,0
