term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0007155,"cell adhesion",2.821%, 0.326, 0.411,3.394,-7.5086,0.962,0.000,7155,0
GO:0016337,"single organismal cell-cell adhesion",0.678%,null,null,2.775,-2.5513,0.944,0.810,7155,1
GO:0016339,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules",0.056%,null,null,1.699,-2.1965,0.966,0.798,7155,1
GO:0007160,"cell-matrix adhesion",0.605%,null,null,2.726,-2.1884,0.966,0.799,7155,1
GO:0007156,"homophilic cell adhesion via plasma membrane adhesion molecules",0.489%,null,null,2.633,-2.2418,0.962,0.780,7155,1
GO:0031589,"cell-substrate adhesion",0.798%,null,null,2.846,-2.1302,0.965,0.825,7155,1
GO:0019885,"antigen processing and presentation of endogenous peptide antigen via MHC class I",0.018%,-0.136,-0.807,1.230,-3.3665,0.965,0.000,19885,0
GO:0002483,"antigen processing and presentation of endogenous peptide antigen",0.019%,null,null,1.255,-3.1938,0.965,0.983,19885,1
GO:0002484,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway",0.008%,null,null,0.903,-2.6162,0.966,0.947,19885,1
GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",0.005%,null,null,0.699,-2.9136,0.967,0.919,19885,1
GO:0022610,"biological adhesion",2.826%, 0.326, 0.019,3.395,-7.4949,0.994,0.000,22610,0
GO:0030198,"extracellular matrix organization",0.708%, 3.136, 3.493,2.794,-13.1487,0.865,0.000,30198,0
GO:0022617,"extracellular matrix disassembly",0.179%,null,null,2.199,-9.6778,0.877,0.872,30198,1
GO:0030199,"collagen fibril organization",0.126%,null,null,2.049,-1.8133,0.877,0.846,30198,1
GO:0048251,"elastic fiber assembly",0.016%,null,null,1.176,-2.4012,0.890,0.718,30198,1
GO:0085029,"extracellular matrix assembly",0.041%,null,null,1.568,-1.6955,0.884,0.771,30198,1
GO:0032501,"multicellular organismal process",15.657%, 0.182, 0.169,4.138,-4.9208,0.995,0.000,32501,0
GO:0032502,"developmental process",13.055%, 0.039, 0.133,4.059,-3.3010,0.995,0.000,32502,0
GO:0040011,"locomotion",3.285%,-0.024,-0.042,3.460,-2.5229,0.994,0.000,40011,0
GO:0044699,"single-organism process",71.655%, 0.482,-0.021,4.799,-2.3990,0.998,0.000,44699,0
GO:0051384,"response to glucocorticoid",0.384%,-4.955,-5.410,2.529,-3.9586,0.858,0.000,51384,0
GO:0048545,"response to steroid hormone",1.316%,null,null,3.063,-2.8153,0.847,0.763,51384,1
GO:1900169,"regulation of glucocorticoid mediated signaling pathway",0.008%,null,null,0.903,-1.6906,0.799,0.732,51384,1
GO:0031960,"response to corticosteroid",0.403%,null,null,2.550,-3.7447,0.859,0.772,51384,1
GO:0009725,"response to hormone",2.314%,null,null,3.308,-1.6057,0.842,0.783,51384,1
GO:0043402,"glucocorticoid mediated signaling pathway",0.017%,null,null,1.204,-1.6906,0.803,0.771,51384,1
GO:0071692,"protein localization to extracellular region",0.006%, 6.250,-2.072,0.778,-2.6162,0.919,0.000,71692,0
GO:0030574,"collagen catabolic process",0.104%,-2.339, 6.606,1.964,-4.5086,0.848,0.016,30574,0
GO:0044243,"multicellular organismal catabolic process",0.112%,null,null,1.996,-4.3188,0.865,0.893,30574,1
GO:0044259,"multicellular organismal macromolecule metabolic process",0.197%,null,null,2.241,-3.0915,0.852,0.975,30574,1
GO:0032963,"collagen metabolic process",0.183%,null,null,2.210,-3.2366,0.853,0.944,30574,1
GO:0051004,"regulation of lipoprotein lipase activity",0.055%, 0.667,-1.022,1.690,-2.1325,0.911,0.038,51004,0
GO:0032513,"negative regulation of protein phosphatase type 2B activity",0.003%,null,null,0.602,-1.3940,0.876,0.778,51004,1
GO:0032515,"negative regulation of phosphoprotein phosphatase activity",0.010%,null,null,1.000,-2.2306,0.869,0.748,51004,1
GO:0060192,"negative regulation of lipase activity",0.027%,null,null,1.398,-1.9714,0.910,0.794,51004,1
GO:1900115,"extracellular regulation of signal transduction",0.017%,-3.955,-3.236,1.204,-2.0904,0.854,0.064,1900115,0
GO:0044763,"single-organism cellular process",45.302%,-0.006, 0.087,4.599,-1.6959,0.934,0.073,44763,0
GO:0008037,"cell recognition",0.236%, 0.408, 0.118,2.318,-1.6465,0.932,0.079,8037,0
GO:0009605,"response to external stimulus",4.459%,-1.299,-2.321,3.593,-3.3979,0.947,0.091,9605,0
GO:0007626,"locomotory behavior",0.515%,-0.669, 1.721,2.656,-2.4949,0.927,0.094,7626,0
GO:0007631,"feeding behavior",0.230%,null,null,2.307,-1.6849,0.931,0.727,7626,1
GO:0030534,"adult behavior",0.340%,null,null,2.476,-1.7844,0.839,0.780,7626,1
GO:0008344,"adult locomotory behavior",0.231%,null,null,2.310,-2.4724,0.844,0.728,7626,1
GO:0031667,"response to nutrient levels",1.049%,-1.215,-0.360,2.965,-2.7932,0.913,0.103,31667,0
GO:0033273,"response to vitamin",0.267%,null,null,2.371,-2.3615,0.856,0.848,31667,1
GO:0042594,"response to starvation",0.374%,null,null,2.517,-2.3947,0.906,0.877,31667,1
GO:0007584,"response to nutrient",0.548%,null,null,2.683,-2.2541,0.848,0.911,31667,1
GO:0006928,"cellular component movement",3.830%, 0.266, 0.324,3.527,-2.7423,0.916,0.105,6928,0
GO:0007610,"behavior",1.517%,-0.485,-1.250,3.125,-1.4856,0.952,0.108,7610,0
GO:0006601,"creatine biosynthetic process",0.002%,-1.760, 0.075,0.477,-3.3872,0.872,0.111,6601,0
GO:0009611,"response to wounding",2.056%,-2.629,-2.511,3.256,-2.4711,0.933,0.113,9611,0
GO:0019883,"antigen processing and presentation of endogenous antigen",0.022%,-0.090,-0.777,1.301,-3.1938,0.980,0.123,19883,0
GO:0009719,"response to endogenous stimulus",3.718%,-0.977,-1.648,3.514,-2.6925,0.948,0.124,9719,0
GO:0044795,"trans-Golgi network to recycling endosome transport",0.001%, 6.898,-2.097,0.301,-1.6906,0.898,0.128,44795,0
GO:0018208,"peptidyl-proline modification",0.207%,-1.559, 0.235,2.262,-1.9090,0.927,0.130,18208,0
GO:0035696,"monocyte extravasation",0.003%, 5.304,-1.814,0.602,-1.6906,0.858,0.135,35696,0
GO:0002692,"negative regulation of cellular extravasation",0.002%,null,null,0.477,-1.3940,0.792,0.811,35696,1
GO:2000437,"regulation of monocyte extravasation",0.002%,null,null,0.477,-1.6906,0.806,0.703,35696,1
GO:2000438,"negative regulation of monocyte extravasation",0.001%,null,null,0.301,-1.6906,0.798,0.932,35696,1
GO:0042221,"response to chemical",8.684%,-1.742,-2.468,3.882,-2.4078,0.943,0.142,42221,0
GO:0006950,"response to stress",8.191%,-0.986,-1.690,3.857,-2.3726,0.944,0.160,6950,0
GO:2000653,"regulation of genetic imprinting",0.007%,-1.322,-1.801,0.845,-1.6906,0.894,0.166,2000653,0
GO:0000117,"regulation of transcription involved in G2/M transition of mitotic cell cycle",0.001%,-0.378,-0.436,0.301,-1.6906,0.882,0.171,117,0
GO:0002480,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent",0.085%,-0.303,-1.512,1.881,-3.3665,0.973,0.171,2480,0
GO:0042590,"antigen processing and presentation of exogenous peptide antigen via MHC class I",0.166%,null,null,2.167,-1.4724,0.973,0.862,2480,1
GO:0010644,"cell communication by electrical coupling",0.036%,-3.654,-2.111,1.519,-1.4379,0.919,0.173,10644,0
GO:2000560,"positive regulation of CD24 biosynthetic process",0.001%, 1.130,-1.107,0.301,-1.6906,0.878,0.174,2000560,0
GO:2000559,"regulation of CD24 biosynthetic process",0.001%,null,null,0.301,-1.6906,0.890,1.000,2000560,1
GO:1901142,"insulin metabolic process",0.014%,-0.699,-0.124,1.114,-1.3940,0.963,0.195,1901142,0
GO:0051674,"localization of cell",2.570%, 6.431,-2.118,3.353,-1.6440,0.901,0.201,51674,0
GO:2000568,"positive regulation of memory T cell activation",0.002%, 1.863,-0.611,0.477,-1.3940,0.887,0.204,2000568,0
GO:2000567,"regulation of memory T cell activation",0.002%,null,null,0.477,-1.3940,0.898,1.000,2000568,1
GO:0010459,"negative regulation of heart rate",0.016%, 1.056, 6.669,1.176,-3.3872,0.797,0.206,10459,0
GO:0048583,"regulation of response to stimulus",26.518%,-3.257,-3.776,4.367,-2.1624,0.894,0.210,48583,0
GO:0006824,"cobalt ion transport",0.013%, 7.243,-2.319,1.079,-1.3940,0.880,0.213,6824,0
GO:0019674,"NAD metabolic process",0.099%,-1.477, 0.598,1.944,-2.2652,0.849,0.214,19674,0
GO:0046496,"nicotinamide nucleotide metabolic process",0.179%,null,null,2.199,-1.3790,0.844,0.954,19674,1
GO:0006742,"NADP catabolic process",0.003%,null,null,0.602,-1.6906,0.866,0.734,19674,1
GO:0019364,"pyridine nucleotide catabolic process",0.003%,null,null,0.602,-1.6906,0.867,0.918,19674,1
GO:0019363,"pyridine nucleotide biosynthetic process",0.067%,null,null,1.778,-1.6955,0.837,0.952,19674,1
GO:0019362,"pyridine nucleotide metabolic process",0.179%,null,null,2.199,-1.3790,0.844,0.977,19674,1
GO:0019359,"nicotinamide nucleotide biosynthetic process",0.066%,null,null,1.771,-1.6955,0.837,0.986,19674,1
GO:0019677,"NAD catabolic process",0.001%,null,null,0.301,-1.6906,0.872,0.949,19674,1
GO:0072525,"pyridine-containing compound biosynthetic process",0.087%,null,null,1.886,-1.4379,0.877,0.885,19674,1
GO:0009435,"NAD biosynthetic process",0.056%,null,null,1.699,-1.8681,0.838,0.877,19674,1
GO:0001519,"peptide amidation",0.009%,-0.971,-0.888,0.954,-1.6906,0.926,0.232,1519,0
