term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0007155,"cell adhesion",2.821%,-0.180,-0.734,3.394,-7.5850,0.969,0.000,7155,0
GO:0016337,"single organismal cell-cell adhesion",0.678%,null,null,2.775,-3.5850,0.944,0.810,7155,1
GO:0007159,"leukocyte cell-cell adhesion",0.106%,null,null,1.973,-1.8996,0.950,0.816,7155,1
GO:0034109,"homotypic cell-cell adhesion",0.145%,null,null,2.107,-2.0964,0.949,0.838,7155,1
GO:0009605,"response to external stimulus",4.459%, 0.765,-0.024,3.593,-6.5686,0.950,0.000,9605,0
GO:0022610,"biological adhesion",2.826%,-1.341,-0.770,3.395,-7.5686,0.994,0.000,22610,0
GO:0030198,"extracellular matrix organization",0.708%,-3.398, 0.891,2.794,-10.3565,0.875,0.000,30198,0
GO:0022617,"extracellular matrix disassembly",0.179%,null,null,2.199,-6.7959,0.887,0.872,30198,1
GO:0048251,"elastic fiber assembly",0.016%,null,null,1.176,-1.9642,0.901,0.718,30198,1
GO:0032501,"multicellular organismal process",15.657%,-0.907,-0.656,4.138,-9.0269,0.995,0.000,32501,0
GO:0032502,"developmental process",13.055%,-1.096,-0.627,4.059,-4.5229,0.995,0.000,32502,0
GO:0032846,"positive regulation of homeostatic process",0.154%,-1.639, 4.367,2.134,-4.0605,0.841,0.000,32846,0
GO:2000021,"regulation of ion homeostasis",0.358%,null,null,2.498,-2.2684,0.831,0.805,32846,1
GO:0040007,"growth",2.160%,-0.440,-0.332,3.278,-2.1811,0.994,0.000,40007,0
GO:0040011,"locomotion",3.285%,-0.433,-0.341,3.460,-3.8539,0.994,0.000,40011,0
GO:0044699,"single-organism process",71.655%,-2.006,-1.340,4.799,-4.1675,0.998,0.000,44699,0
GO:0050896,"response to stimulus",47.248%,-1.659,-1.167,4.618,-2.6253,0.997,0.000,50896,0
GO:0030574,"collagen catabolic process",0.104%,-5.337,-4.675,1.964,-3.9208,0.816,0.016,30574,0
GO:0044243,"multicellular organismal catabolic process",0.112%,null,null,1.996,-3.7212,0.823,0.893,30574,1
GO:0044259,"multicellular organismal macromolecule metabolic process",0.197%,null,null,2.241,-2.4067,0.813,0.975,30574,1
GO:0032963,"collagen metabolic process",0.183%,null,null,2.210,-2.5560,0.814,0.944,30574,1
GO:0006072,"glycerol-3-phosphate metabolic process",0.030%, 1.835,-3.670,1.431,-2.4672,0.907,0.065,6072,0
GO:0040008,"regulation of growth",1.265%,-0.270,-0.245,3.046,-2.9431,0.939,0.065,40008,0
GO:0016049,"cell growth",0.883%,null,null,2.890,-1.9083,0.910,0.825,40008,1
GO:0001558,"regulation of cell growth",0.643%,null,null,2.752,-2.0921,0.825,0.797,40008,1
GO:0010644,"cell communication by electrical coupling",0.036%, 0.940, 0.355,1.519,-1.8781,0.920,0.067,10644,0
GO:0006801,"superoxide metabolic process",0.140%,-2.155,-1.307,2.093,-1.8444,0.942,0.068,6801,0
GO:0044763,"single-organism cellular process",45.302%,-1.181,-1.021,4.599,-3.1871,0.926,0.073,44763,0
GO:0008037,"cell recognition",0.236%,-1.610,-1.000,2.318,-2.0453,0.926,0.079,8037,0
GO:0030593,"neutrophil chemotaxis",0.122%, 3.011, 5.261,2.033,-5.2840,0.734,0.081,30593,0
GO:0097529,"myeloid leukocyte migration",0.203%,null,null,2.253,-2.9872,0.817,0.814,30593,1
GO:0097530,"granulocyte migration",0.147%,null,null,2.114,-4.3010,0.819,0.935,30593,1
GO:1990266,"neutrophil migration",0.123%,null,null,2.037,-5.2840,0.821,0.971,30593,1
GO:0071621,"granulocyte chemotaxis",0.141%,null,null,2.097,-4.4685,0.731,0.982,30593,1
GO:0060326,"cell chemotaxis",0.401%,null,null,2.548,-3.4815,0.725,0.872,30593,1
GO:0006935,"chemotaxis",1.276%,null,null,3.050,-3.8539,0.831,0.778,30593,1
GO:0030595,"leukocyte chemotaxis",0.251%,null,null,2.344,-2.8861,0.722,0.866,30593,1
GO:1901615,"organic hydroxy compound metabolic process",1.118%, 0.151,-2.311,2.992,-1.8652,0.950,0.085,1901615,0
GO:0007631,"feeding behavior",0.230%,-0.492,-0.544,2.307,-1.7913,0.951,0.086,7631,0
GO:0050795,"regulation of behavior",0.338%,null,null,2.474,-1.6126,0.908,0.701,7631,1
GO:0008344,"adult locomotory behavior",0.231%,null,null,2.310,-1.5653,0.847,0.702,7631,1
GO:0051239,"regulation of multicellular organismal process",5.506%,-1.247,-0.325,3.684,-2.2612,0.941,0.097,51239,0
GO:0051606,"detection of stimulus",1.214%,-0.038,-0.238,3.028,-1.7760,0.956,0.105,51606,0
GO:0006928,"cellular component movement",3.830%, 0.010,-0.632,3.527,-4.0269,0.906,0.105,6928,0
GO:0080134,"regulation of response to stress",1.961%, 1.512, 0.221,3.236,-3.9586,0.873,0.112,80134,0
GO:0019885,"antigen processing and presentation of endogenous peptide antigen via MHC class I",0.018%, 0.123, 0.157,1.230,-2.7100,0.966,0.113,19885,0
GO:0002483,"antigen processing and presentation of endogenous peptide antigen",0.019%,null,null,1.255,-2.5467,0.966,0.983,19885,1
GO:0002484,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway",0.008%,null,null,0.903,-2.1759,0.967,0.947,19885,1
GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",0.005%,null,null,0.699,-2.4672,0.968,0.919,19885,1
GO:0046629,"gamma-delta T cell activation",0.048%, 0.193, 0.357,1.633,-1.6615,0.923,0.121,46629,0
GO:0010872,"regulation of cholesterol esterification",0.011%, 2.325,-5.128,1.041,-2.1759,0.840,0.123,10872,0
GO:0034435,"cholesterol esterification",0.015%,null,null,1.146,-1.9642,0.870,0.985,10872,1
GO:0034434,"sterol esterification",0.015%,null,null,1.146,-1.9642,0.870,1.000,10872,1
GO:0019883,"antigen processing and presentation of endogenous antigen",0.022%, 0.095, 0.278,1.301,-2.5467,0.980,0.123,19883,0
GO:0009719,"response to endogenous stimulus",3.718%, 0.406,-0.065,3.514,-2.7122,0.951,0.124,9719,0
GO:0006071,"glycerol metabolic process",0.052%, 2.349,-5.880,1.672,-3.4437,0.842,0.135,6071,0
GO:0019751,"polyol metabolic process",0.210%,null,null,2.267,-2.2358,0.860,0.802,6071,1
GO:0034310,"primary alcohol catabolic process",0.016%,null,null,1.176,-1.7978,0.880,0.845,6071,1
GO:0019400,"alditol metabolic process",0.058%,null,null,1.716,-3.1249,0.841,0.820,6071,1
GO:1901616,"organic hydroxy compound catabolic process",0.134%,null,null,2.076,-1.9996,0.934,0.771,6071,1
GO:0006066,"alcohol metabolic process",0.738%,null,null,2.812,-2.7773,0.847,0.713,6071,1
GO:0046164,"alcohol catabolic process",0.103%,null,null,1.959,-2.3125,0.864,0.754,6071,1
GO:0042221,"response to chemical",8.684%, 1.245, 0.335,3.882,-3.6021,0.946,0.142,42221,0
GO:1901568,"fatty acid derivative metabolic process",0.179%, 2.198,-5.851,2.199,-2.0061,0.908,0.148,1901568,0
GO:0006081,"cellular aldehyde metabolic process",0.106%, 1.962,-5.246,1.973,-1.8444,0.883,0.148,6081,0
GO:0006950,"response to stress",8.191%, 0.924, 0.294,3.857,-2.3862,0.947,0.160,6950,0
GO:0071692,"protein localization to extracellular region",0.006%, 1.910, 6.341,0.778,-2.1759,0.915,0.164,71692,0
GO:0032515,"negative regulation of phosphoprotein phosphatase activity",0.010%, 1.991,-2.994,1.000,-1.7978,0.864,0.171,32515,0
GO:0060192,"negative regulation of lipase activity",0.027%,null,null,1.398,-1.5465,0.910,0.718,32515,1
GO:0002480,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent",0.085%, 0.780, 0.860,1.881,-2.7100,0.978,0.171,2480,0
GO:0006601,"creatine biosynthetic process",0.002%, 2.605,-5.797,0.477,-2.9355,0.838,0.190,6601,0
GO:0006956,"complement activation",0.276%, 2.609,-4.159,2.386,-2.3768,0.807,0.199,6956,0
GO:2000257,"regulation of protein activation cascade",0.060%,null,null,1.732,-2.2749,0.843,0.854,6956,1
GO:0002455,"humoral immune response mediated by circulating immunoglobulin",0.271%,null,null,2.378,-1.6574,0.929,0.909,6956,1
GO:0030449,"regulation of complement activation",0.049%,null,null,1.643,-2.2749,0.758,0.841,6956,1
GO:0002920,"regulation of humoral immune response",0.107%,null,null,1.978,-1.7989,0.897,0.843,6956,1
GO:0006957,"complement activation, alternative pathway",0.016%,null,null,1.176,-1.9642,0.817,0.776,6956,1
GO:0006958,"complement activation, classical pathway",0.215%,null,null,2.279,-2.0580,0.810,0.944,6956,1
GO:0006629,"lipid metabolic process",3.159%, 2.324,-6.128,3.443,-2.3019,0.882,0.209,6629,0
GO:0048583,"regulation of response to stimulus",26.518%, 2.023, 1.557,4.367,-3.1487,0.892,0.210,48583,0
