term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006396,"RNA processing",1.631%,-3.777, 4.834,3.156,-5.3665,0.834,0.000,6396,0
GO:0007157,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",0.084%, 1.575,-0.088,1.875,-2.1656,0.975,0.000,7157,0
GO:0009987,"cellular process",59.614%, 1.256, 0.622,4.719,-1.7162,0.998,0.000,9987,0
GO:0022610,"biological adhesion",2.826%, 1.465, 0.596,3.395,-1.8861,0.994,0.000,22610,0
GO:0032502,"developmental process",13.055%, 0.971, 0.448,4.059,-1.7254,0.995,0.000,32502,0
GO:0071840,"cellular component organization or biogenesis",12.603%, 2.028, 0.609,4.044,-2.3215,0.995,0.000,71840,0
GO:0097186,"amelogenesis",0.033%, 6.846, 2.421,1.477,-3.5376,0.807,0.000,97186,0
GO:0097305,"response to alcohol",0.774%,-0.597,-1.792,2.833,-2.1605,0.920,0.000,97305,0
GO:0051182,"coenzyme transport",0.019%,-0.198,-2.928,1.255,-2.2262,0.925,0.011,51182,0
GO:0015876,"acetyl-CoA transport",0.005%,null,null,0.699,-1.6012,0.915,0.814,51182,1
GO:0015887,"pantothenate transmembrane transport",0.011%,null,null,1.041,-1.6012,0.869,0.896,51182,1
GO:0015878,"biotin transport",0.011%,null,null,1.041,-1.6012,0.909,0.857,51182,1
GO:0015916,"fatty-acyl-CoA transport",0.005%,null,null,0.699,-1.6012,0.921,1.000,51182,1
GO:0008283,"cell proliferation",4.075%, 0.931, 0.306,3.554,-1.9027,0.967,0.017,8283,0
GO:0010980,"positive regulation of vitamin D 24-hydroxylase activity",0.003%,-1.625, 2.286,0.602,-3.2076,0.912,0.038,10980,0
GO:0007015,"actin filament organization",0.768%, 1.257,-7.017,2.829,-4.0809,0.753,0.047,7015,0
GO:0043149,"stress fiber assembly",0.125%,null,null,2.045,-2.3344,0.768,0.949,7015,1
GO:0010638,"positive regulation of organelle organization",0.833%,null,null,2.865,-1.5011,0.719,0.828,7015,1
GO:0032970,"regulation of actin filament-based process",0.660%,null,null,2.763,-2.1506,0.817,0.822,7015,1
GO:0032956,"regulation of actin cytoskeleton organization",0.577%,null,null,2.705,-2.1605,0.709,0.830,7015,1
GO:0051496,"positive regulation of stress fiber assembly",0.071%,null,null,1.799,-1.6716,0.714,0.960,7015,1
GO:0051493,"regulation of cytoskeleton organization",0.867%,null,null,2.882,-1.5119,0.731,0.733,7015,1
GO:0051497,"negative regulation of stress fiber assembly",0.016%,null,null,1.176,-1.8005,0.742,0.816,7015,1
GO:0051492,"regulation of stress fiber assembly",0.101%,null,null,1.954,-2.6162,0.723,0.933,7015,1
GO:0051017,"actin filament bundle assembly",0.235%,null,null,2.316,-4.2924,0.757,0.762,7015,1
