term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",29.354%, 0.924, 0.118,4.411,-2.0851,0.996,0.000,2376,0
GO:0006954,"inflammatory response",1.375%,-0.516,-2.367,3.082,-3.3768,0.916,0.000,6954,0
GO:0031347,"regulation of defense response",1.124%,null,null,2.994,-2.3947,0.861,0.768,6954,1
GO:0050727,"regulation of inflammatory response",0.603%,null,null,2.724,-2.5143,0.813,0.803,6954,1
GO:0032103,"positive regulation of response to external stimulus",0.398%,null,null,2.544,-2.0768,0.826,0.813,6954,1
GO:0007155,"cell adhesion",2.821%, 0.097, 0.573,3.394,-3.5086,0.965,0.000,7155,0
GO:0034446,"substrate adhesion-dependent cell spreading",0.125%,null,null,2.045,-2.3288,0.689,0.784,7155,1
GO:0031589,"cell-substrate adhesion",0.798%,null,null,2.846,-2.6003,0.968,0.825,7155,1
GO:0030155,"regulation of cell adhesion",0.746%,null,null,2.817,-2.9626,0.842,0.819,7155,1
GO:0010810,"regulation of cell-substrate adhesion",0.392%,null,null,2.538,-2.3665,0.849,0.761,7155,1
GO:0045785,"positive regulation of cell adhesion",0.418%,null,null,2.566,-2.1124,0.804,0.882,7155,1
GO:0022610,"biological adhesion",2.826%, 0.673, 0.030,3.395,-3.4949,0.994,0.000,22610,0
GO:0023052,"signaling",17.329%, 1.192, 0.264,4.182,-3.0915,0.995,0.000,23052,0
GO:0032501,"multicellular organismal process",15.657%, 0.317,-0.001,4.138,-4.2518,0.995,0.000,32501,0
GO:0032502,"developmental process",13.055%, 0.092, 0.029,4.059,-5.4949,0.995,0.000,32502,0
GO:0040011,"locomotion",3.285%,-0.014, 0.002,3.460,-2.0106,0.995,0.000,40011,0
GO:0042127,"regulation of cell proliferation",3.148%,-4.002,-4.716,3.442,-4.6990,0.799,0.000,42127,0
GO:0070661,"leukocyte proliferation",0.556%,null,null,2.689,-1.8765,0.933,0.710,42127,1
GO:0032943,"mononuclear cell proliferation",0.537%,null,null,2.674,-1.7131,0.931,0.987,42127,1
GO:0050673,"epithelial cell proliferation",0.708%,null,null,2.794,-2.7399,0.932,0.730,42127,1
GO:0008284,"positive regulation of cell proliferation",1.657%,null,null,3.163,-2.5544,0.762,0.812,42127,1
