term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0000278,"mitotic cell cycle",1.725%, 3.892, 1.440,3.180,-4.1367,0.755,0.000,278,0
GO:0000280,"nuclear division",1.116%,null,null,2.991,-3.3372,0.661,0.928,278,1
GO:0051726,"regulation of cell cycle",1.952%,null,null,3.234,-1.6411,0.714,0.836,278,1
GO:0045839,"negative regulation of mitosis",0.081%,null,null,1.857,-1.9024,0.569,0.939,278,1
GO:0045840,"positive regulation of mitosis",0.070%,null,null,1.792,-1.3475,0.586,0.829,278,1
GO:0045841,"negative regulation of mitotic metaphase/anaphase transition",0.066%,null,null,1.771,-2.1918,0.555,0.998,278,1
GO:0044772,"mitotic cell cycle phase transition",0.830%,null,null,2.863,-2.3851,0.735,0.872,278,1
GO:0044770,"cell cycle phase transition",0.847%,null,null,2.872,-2.3645,0.755,0.731,278,1
GO:0044784,"metaphase/anaphase transition of cell cycle",0.104%,null,null,1.964,-1.9389,0.566,0.998,278,1
GO:0044839,"cell cycle G2/M phase transition",0.234%,null,null,2.314,-2.5058,0.766,0.780,278,1
GO:0007346,"regulation of mitotic cell cycle",0.775%,null,null,2.833,-1.7361,0.711,0.812,278,1
GO:0071174,"mitotic spindle checkpoint",0.074%,null,null,1.820,-2.1007,0.703,0.946,278,1
GO:0071173,"spindle assembly checkpoint",0.068%,null,null,1.785,-2.1918,0.789,0.937,278,1
GO:0051302,"regulation of cell division",0.595%,null,null,2.719,-2.2449,0.786,0.792,278,1
GO:0051784,"negative regulation of nuclear division",0.112%,null,null,1.996,-1.7675,0.626,0.853,278,1
GO:0051783,"regulation of nuclear division",0.406%,null,null,2.553,-1.9927,0.626,0.880,278,1
GO:1902099,"regulation of metaphase/anaphase transition of cell cycle",0.089%,null,null,1.898,-1.9772,0.570,0.956,278,1
GO:1902100,"negative regulation of metaphase/anaphase transition of cell cycle",0.067%,null,null,1.778,-2.1918,0.563,0.959,278,1
GO:0010564,"regulation of cell cycle process",1.104%,null,null,2.987,-1.6919,0.706,0.824,278,1
GO:0030071,"regulation of mitotic metaphase/anaphase transition",0.088%,null,null,1.892,-1.9772,0.570,0.979,278,1
GO:0007094,"mitotic spindle assembly checkpoint",0.065%,null,null,1.763,-2.1918,0.551,0.818,278,1
