term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0009607,"response to biotic stimulus",1.599%,-0.505,-0.793,3.147,-1.5345,0.972,0.000,9607,0
GO:0044699,"single-organism process",71.655%,-0.759,-1.013,4.799,-2.9469,0.998,0.000,44699,0
GO:0051488,"activation of anaphase-promoting complex activity",0.011%, 2.439,-0.677,1.041,-4.5850,0.800,0.000,51488,0
GO:0051351,"positive regulation of ligase activity",0.109%,null,null,1.987,-1.3758,0.889,0.966,51488,1
GO:0051443,"positive regulation of ubiquitin-protein transferase activity",0.104%,null,null,1.964,-1.4264,0.772,0.854,51488,1
GO:0022411,"cellular component disassembly",0.713%,-6.169,-4.245,2.797,-3.1675,0.784,0.030,22411,0
GO:0042445,"hormone metabolic process",0.448%, 0.285, 2.013,2.595,-2.9393,0.877,0.045,42445,0
GO:0034754,"cellular hormone metabolic process",0.197%,null,null,2.241,-2.8356,0.850,0.778,42445,1
GO:0042446,"hormone biosynthetic process",0.153%,null,null,2.130,-1.7459,0.864,0.847,42445,1
GO:0010818,"T cell chemotaxis",0.018%, 0.661, 5.548,1.230,-2.8761,0.817,0.064,10818,0
GO:0072678,"T cell migration",0.056%,null,null,1.699,-2.0348,0.860,0.922,10818,1
GO:0048247,"lymphocyte chemotaxis",0.036%,null,null,1.519,-2.1221,0.811,0.859,10818,1
GO:0035747,"natural killer cell chemotaxis",0.009%,null,null,0.954,-1.5242,0.824,0.884,10818,1
GO:0072524,"pyridine-containing compound metabolic process",0.204%, 3.859,-3.999,2.255,-2.7352,0.854,0.066,72524,0
GO:0097502,"mannosylation",0.040%, 2.370,-3.588,1.556,-2.2175,0.897,0.069,97502,0
GO:0044763,"single-organism cellular process",45.302%,-0.536,-1.235,4.599,-3.0506,0.913,0.073,44763,0
GO:0044710,"single-organism metabolic process",26.477%, 0.399,-1.437,4.366,-2.7670,0.923,0.089,44710,0
GO:0007017,"microtubule-based process",1.838%, 0.008,-0.747,3.208,-1.4936,0.893,0.097,7017,0
GO:0048710,"regulation of astrocyte differentiation",0.057%,-3.554, 2.437,1.708,-1.9543,0.817,0.106,48710,0
GO:0014013,"regulation of gliogenesis",0.187%,null,null,2.217,-1.4769,0.804,0.735,48710,1
GO:0048708,"astrocyte differentiation",0.138%,null,null,2.086,-1.3826,0.854,0.785,48710,1
GO:0048711,"positive regulation of astrocyte differentiation",0.018%,null,null,1.230,-1.5539,0.805,0.818,48710,1
GO:0030647,"aminoglycoside antibiotic metabolic process",0.015%, 2.123,-3.353,1.146,-1.6544,0.890,0.117,30647,0
GO:1901128,"gentamycin metabolic process",0.006%,null,null,0.778,-1.5242,0.875,0.874,30647,1
GO:0035585,"calcium-mediated signaling using extracellular calcium source",0.003%,-0.126, 1.131,0.602,-1.5242,0.874,0.142,35585,0
GO:1901684,"arsenate ion transmembrane transport",0.006%, 0.493, 5.551,0.778,-1.5242,0.882,0.147,1901684,0
GO:0036337,"Fas signaling pathway",0.003%,-0.120, 1.402,0.602,-1.5242,0.875,0.149,36337,0
GO:0008610,"lipid biosynthetic process",1.351%, 4.106,-5.223,3.074,-2.1824,0.831,0.161,8610,0
GO:0034502,"protein localization to chromosome",0.044%, 0.496, 5.327,1.602,-2.1221,0.949,0.165,34502,0
GO:0072376,"protein activation cascade",0.335%, 4.633,-3.994,2.470,-2.8894,0.852,0.199,72376,0
GO:1902044,"regulation of Fas signaling pathway",0.002%, 0.400, 1.429,0.477,-1.5242,0.870,0.210,1902044,0
GO:0000296,"spermine transport",0.001%, 0.661, 6.654,0.301,-1.5242,0.931,0.222,296,0
GO:0070084,"protein initiator methionine removal",0.008%, 1.847,-1.412,0.903,-1.5242,0.893,0.226,70084,0
GO:0097359,"UDP-glucosylation",0.015%, 4.813,-5.707,1.146,-1.5242,0.832,0.228,97359,0
GO:0031145,"anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process",0.103%, 3.247,-2.173,1.959,-2.0218,0.845,0.234,31145,0
GO:0001552,"ovarian follicle atresia",0.003%,-3.108, 2.433,0.602,-1.5242,0.935,0.236,1552,0
GO:0042816,"vitamin B6 metabolic process",0.008%, 4.459,-5.157,0.903,-2.2890,0.824,0.241,42816,0
GO:0046496,"nicotinamide nucleotide metabolic process",0.179%,null,null,2.199,-1.5844,0.782,0.784,42816,1
GO:0019362,"pyridine nucleotide metabolic process",0.179%,null,null,2.199,-1.5844,0.782,0.977,42816,1
GO:0006956,"complement activation",0.276%, 3.971,-2.047,2.386,-2.5850,0.809,0.254,6956,0
GO:2000257,"regulation of protein activation cascade",0.060%,null,null,1.732,-1.3869,0.820,0.854,6956,1
GO:0030449,"regulation of complement activation",0.049%,null,null,1.643,-1.3869,0.761,0.841,6956,1
GO:0015793,"glycerol transport",0.009%, 0.581, 5.613,0.954,-1.5242,0.932,0.259,15793,0
GO:0046689,"response to mercury ion",0.019%, 0.302, 1.679,1.255,-2.2890,0.953,0.260,46689,0
GO:0016310,"phosphorylation",10.160%, 2.116,-2.583,3.950,-1.4951,0.874,0.261,16310,0
GO:0018149,"peptide cross-linking",0.099%, 2.382,-1.551,1.944,-2.6716,0.876,0.262,18149,0
GO:0097031,"mitochondrial respiratory chain complex I biogenesis",0.018%,-6.018,-3.996,1.230,-1.3161,0.865,0.267,97031,0
GO:0019800,"peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan",0.024%, 5.613,-5.722,1.342,-2.5817,0.744,0.275,19800,0
GO:0030205,"dermatan sulfate metabolic process",0.015%,null,null,1.146,-1.3869,0.754,0.972,19800,1
GO:0030208,"dermatan sulfate biosynthetic process",0.014%,null,null,1.114,-1.4655,0.738,0.737,19800,1
GO:0030207,"chondroitin sulfate catabolic process",0.018%,null,null,1.230,-1.4655,0.741,0.861,19800,1
