term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",29.354%,-0.130, 0.863,4.411,-3.1938,0.996,0.000,2376,0
GO:0006935,"chemotaxis",1.276%, 1.323, 1.664,3.050,-4.2441,0.902,0.000,6935,0
GO:0050926,"regulation of positive chemotaxis",0.063%,null,null,1.748,-3.0000,0.875,0.937,6935,1
GO:0050927,"positive regulation of positive chemotaxis",0.062%,null,null,1.740,-3.0000,0.861,0.733,6935,1
GO:0050918,"positive chemotaxis",0.098%,null,null,1.940,-2.2815,0.921,0.763,6935,1
GO:0030334,"regulation of cell migration",1.088%,null,null,2.980,-2.0044,0.772,0.900,6935,1
GO:0030335,"positive regulation of cell migration",0.578%,null,null,2.706,-2.0570,0.756,0.912,6935,1
GO:0007411,"axon guidance",0.660%,null,null,2.763,-2.6861,0.499,0.918,6935,1
GO:2000147,"positive regulation of cell motility",0.590%,null,null,2.715,-2.0205,0.755,0.983,6935,1
GO:0097485,"neuron projection guidance",0.660%,null,null,2.763,-2.6861,0.499,0.918,6935,1
GO:0042330,"taxis",1.276%,null,null,3.050,-4.2441,0.922,0.757,6935,1
GO:0040012,"regulation of locomotion",1.268%,null,null,3.047,-2.0535,0.888,0.757,6935,1
GO:0040017,"positive regulation of locomotion",0.632%,null,null,2.745,-2.4559,0.871,0.701,6935,1
GO:0016477,"cell migration",2.372%,null,null,3.319,-2.1013,0.839,0.815,6935,1
GO:0009888,"tissue development",4.199%,-6.690,-2.010,3.567,-4.6021,0.651,0.000,9888,0
GO:0023052,"signaling",17.329%,-0.753, 1.416,4.182,-3.3872,0.995,0.000,23052,0
GO:0032501,"multicellular organismal process",15.657%,-0.485, 0.687,4.138,-2.8477,0.995,0.000,32501,0
GO:0032502,"developmental process",13.055%,-0.106, 0.642,4.059,-4.4559,0.995,0.000,32502,0
GO:0034394,"protein localization to cell surface",0.048%, 0.926, 0.328,1.633,-2.4750,0.969,0.000,34394,0
GO:0040011,"locomotion",3.285%,-0.110, 0.399,3.460,-4.2007,0.994,0.000,40011,0
GO:0042981,"regulation of apoptotic process",3.144%, 2.912,-6.082,3.441,-4.5229,0.773,0.000,42981,0
GO:2001233,"regulation of apoptotic signaling pathway",0.765%,null,null,2.827,-2.2628,0.756,0.803,42981,1
GO:2001235,"positive regulation of apoptotic signaling pathway",0.316%,null,null,2.444,-2.1068,0.749,0.813,42981,1
GO:0060548,"negative regulation of cell death",1.853%,null,null,3.211,-3.0315,0.759,0.884,42981,1
GO:0043069,"negative regulation of programmed cell death",1.726%,null,null,3.181,-3.2441,0.759,0.963,42981,1
GO:0043066,"negative regulation of apoptotic process",1.702%,null,null,3.175,-3.3188,0.760,0.888,42981,1
GO:0043067,"regulation of programmed cell death",3.163%,null,null,3.444,-4.4318,0.774,0.953,42981,1
GO:0012501,"programmed cell death",4.106%,null,null,3.557,-4.1079,0.852,0.927,42981,1
GO:0010941,"regulation of cell death",3.315%,null,null,3.464,-4.2007,0.775,0.864,42981,1
GO:0008219,"cell death",4.485%,null,null,3.595,-3.2291,0.850,0.941,42981,1
GO:0006915,"apoptotic process",4.058%,null,null,3.552,-4.2147,0.851,0.919,42981,1
GO:0048610,"cellular process involved in reproduction",0.381%,-0.638, 1.017,2.511,-2.8097,0.994,0.000,48610,0
GO:0050896,"response to stimulus",47.248%,-0.816, 1.139,4.618,-3.2757,0.997,0.000,50896,0
GO:0065007,"biological regulation",51.216%,-0.323, 0.774,4.653,-4.4089,0.997,0.000,65007,0
GO:0042303,"molting cycle",0.235%,-4.598,-2.778,2.316,-2.7986,0.788,0.020,42303,0
GO:0072089,"stem cell proliferation",0.477%,-0.499,-0.443,2.623,-4.0362,0.904,0.021,72089,0
GO:0008283,"cell proliferation",4.075%,-0.085, 0.540,3.554,-4.1427,0.962,0.028,8283,0
GO:0016265,"death",4.501%,-0.015, 1.313,3.597,-3.2291,0.962,0.030,16265,0
GO:0051084,"'de novo' posttranslational protein folding",0.097%, 1.522, 2.589,1.934,-2.7959,0.920,0.040,51084,0
GO:0006458,"'de novo' protein folding",0.103%,null,null,1.959,-2.6038,0.920,0.708,51084,1
GO:0006968,"cellular defense response",0.070%, 0.088, 1.887,1.792,-2.7077,0.965,0.068,6968,0
GO:0016311,"dephosphorylation",1.340%, 0.242, 2.425,3.071,-1.9918,0.931,0.089,16311,0
GO:0031032,"actomyosin structure organization",0.206%,-0.383, 4.987,2.260,-3.8539,0.877,0.090,31032,0
GO:0051017,"actin filament bundle assembly",0.235%,null,null,2.316,-2.7423,0.873,0.791,31032,1
GO:0061572,"actin filament bundle organization",0.235%,null,null,2.316,-2.7423,0.874,0.798,31032,1
GO:0007015,"actin filament organization",0.768%,null,null,2.829,-1.9727,0.861,0.894,31032,1
GO:0030036,"actin cytoskeleton organization",1.465%,null,null,3.110,-2.7959,0.855,0.781,31032,1
GO:0009891,"positive regulation of biosynthetic process",3.388%, 3.528,-2.245,3.473,-3.6198,0.808,0.103,9891,0
GO:1902680,"positive regulation of RNA biosynthetic process",2.779%,null,null,3.387,-2.7190,0.727,0.966,9891,1
GO:0031328,"positive regulation of cellular biosynthetic process",3.341%,null,null,3.467,-3.3010,0.733,0.824,9891,1
GO:0031325,"positive regulation of cellular metabolic process",5.082%,null,null,3.649,-2.2388,0.731,0.921,9891,1
GO:0051254,"positive regulation of RNA metabolic process",2.813%,null,null,3.393,-2.6021,0.731,0.945,9891,1
GO:0045935,"positive regulation of nucleobase-containing compound metabolic process",3.128%,null,null,3.439,-3.5686,0.738,0.805,9891,1
GO:0010628,"positive regulation of gene expression",2.987%,null,null,3.419,-3.2676,0.807,0.800,9891,1
GO:0045893,"positive regulation of transcription, DNA-templated",2.722%,null,null,3.378,-2.9393,0.728,0.940,9891,1
GO:0010604,"positive regulation of macromolecule metabolic process",4.917%,null,null,3.635,-2.7352,0.799,0.862,9891,1
GO:0045944,"positive regulation of transcription from RNA polymerase II promoter",2.089%,null,null,3.263,-2.6799,0.734,0.906,9891,1
GO:0010557,"positive regulation of macromolecule biosynthetic process",3.143%,null,null,3.441,-3.2291,0.799,0.954,9891,1
GO:0051173,"positive regulation of nitrogen compound metabolic process",3.225%,null,null,3.452,-3.4437,0.814,0.809,9891,1
GO:0009605,"response to external stimulus",4.459%, 1.656, 0.091,3.593,-3.0000,0.967,0.106,9605,0
GO:0042110,"T cell activation",0.956%, 0.143,-0.844,2.924,-3.3468,0.850,0.107,42110,0
GO:0051249,"regulation of lymphocyte activation",0.741%,null,null,2.814,-2.0696,0.784,0.965,42110,1
GO:0050863,"regulation of T cell activation",0.561%,null,null,2.693,-2.0825,0.789,0.938,42110,1
