term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0023052,"signaling",17.329%,-0.082,-0.941,4.182,-5.7447,0.995,0.000,23052,0
GO:0032501,"multicellular organismal process",15.657%, 0.272,-0.479,4.138,-4.5686,0.995,0.000,32501,0
GO:0032502,"developmental process",13.055%, 0.059,-0.436,4.059,-4.3188,0.995,0.000,32502,0
GO:0040007,"growth",2.160%, 0.053,-0.202,3.278,-1.9897,0.994,0.000,40007,0
GO:0040011,"locomotion",3.285%, 0.017,-0.256,3.460,-2.5575,0.994,0.000,40011,0
GO:0050896,"response to stimulus",47.248%, 0.691,-0.856,4.618,-5.0223,0.997,0.000,50896,0
GO:0051056,"regulation of small GTPase mediated signal transduction",1.620%,-3.611, 6.387,3.153,-5.3872,0.731,0.000,51056,0
GO:0030811,"regulation of nucleotide catabolic process",1.890%,null,null,3.220,-2.8125,0.712,0.965,51056,1
GO:0031329,"regulation of cellular catabolic process",2.423%,null,null,3.328,-2.2248,0.752,0.862,51056,1
GO:0032321,"positive regulation of Rho GTPase activity",0.541%,null,null,2.678,-2.2644,0.652,0.956,51056,1
GO:0032318,"regulation of Ras GTPase activity",1.146%,null,null,3.003,-4.2518,0.629,0.824,51056,1
GO:0032320,"positive regulation of Ras GTPase activity",0.957%,null,null,2.925,-2.4202,0.634,0.926,51056,1
GO:0035023,"regulation of Rho protein signal transduction",0.691%,null,null,2.783,-2.6421,0.748,0.894,51056,1
GO:0007266,"Rho protein signal transduction",0.738%,null,null,2.812,-2.0501,0.766,0.874,51056,1
GO:0007265,"Ras protein signal transduction",1.560%,null,null,3.137,-3.6990,0.752,0.855,51056,1
GO:0007264,"small GTPase mediated signal transduction",2.633%,null,null,3.364,-3.6198,0.747,0.727,51056,1
GO:0006184,"GTP catabolic process",2.612%,null,null,3.360,-2.1415,0.796,0.875,51056,1
GO:0043087,"regulation of GTPase activity",1.804%,null,null,3.200,-3.0809,0.694,0.928,51056,1
GO:0043547,"positive regulation of GTPase activity",1.718%,null,null,3.179,-2.2941,0.694,0.974,51056,1
GO:0046039,"GTP metabolic process",2.665%,null,null,3.369,-2.1433,0.806,0.968,51056,1
GO:1900542,"regulation of purine nucleotide metabolic process",2.109%,null,null,3.268,-2.9626,0.717,0.959,51056,1
GO:1901069,"guanosine-containing compound catabolic process",2.615%,null,null,3.361,-2.0931,0.806,0.968,51056,1
GO:0046578,"regulation of Ras protein signal transduction",1.383%,null,null,3.085,-4.5850,0.732,0.936,51056,1
GO:0033124,"regulation of GTP catabolic process",1.815%,null,null,3.202,-3.0458,0.709,0.971,51056,1
GO:0033121,"regulation of purine nucleotide catabolic process",1.889%,null,null,3.220,-2.6003,0.711,0.976,51056,1
GO:1902531,"regulation of intracellular signal transduction",3.702%,null,null,3.512,-4.4437,0.717,0.719,51056,1
GO:0009967,"positive regulation of signal transduction",2.348%,null,null,3.314,-2.0696,0.711,0.757,51056,1
GO:0009968,"negative regulation of signal transduction",2.090%,null,null,3.264,-4.1938,0.706,0.744,51056,1
GO:0009966,"regulation of signal transduction",5.885%,null,null,3.713,-5.8239,0.709,0.830,51056,1
GO:0065007,"biological regulation",51.216%, 0.126,-0.570,4.653,-5.4318,0.997,0.000,65007,0
GO:0015914,"phospholipid transport",0.155%, 0.253,-2.855,2.137,-2.1891,0.944,0.018,15914,0
GO:0010463,"mesenchymal cell proliferation",0.222%,-0.609,-0.440,2.292,-3.6021,0.941,0.018,10463,0
GO:2000648,"positive regulation of stem cell proliferation",0.132%,null,null,2.068,-2.8794,0.818,0.884,10463,1
GO:0010464,"regulation of mesenchymal cell proliferation",0.092%,null,null,1.914,-2.6757,0.846,0.890,10463,1
GO:0072091,"regulation of stem cell proliferation",0.230%,null,null,2.307,-2.9872,0.837,0.873,10463,1
GO:0002053,"positive regulation of mesenchymal cell proliferation",0.084%,null,null,1.875,-3.2007,0.824,0.807,10463,1
GO:0009887,"organ morphogenesis",2.260%, 6.755, 2.279,3.298,-5.3098,0.642,0.024,9887,0
GO:0048646,"anatomical structure formation involved in morphogenesis",2.581%,null,null,3.355,-2.2823,0.688,0.710,9887,1
GO:0008283,"cell proliferation",4.075%,-0.049,-0.324,3.554,-3.2441,0.965,0.027,8283,0
GO:0016311,"dephosphorylation",1.340%,-2.611,-0.930,3.071,-2.8861,0.905,0.050,16311,0
GO:0031638,"zymogen activation",0.198%,-0.650,-3.600,2.243,-2.0942,0.933,0.052,31638,0
GO:0051883,"killing of cells in other organism involved in symbiotic interaction",0.025%,-0.444,-2.378,1.362,-2.9393,0.875,0.053,51883,0
GO:0051712,"positive regulation of killing of cells of other organism",0.011%,null,null,1.041,-2.9393,0.868,0.891,51883,1
GO:0051709,"regulation of killing of cells of other organism",0.013%,null,null,1.079,-2.9393,0.879,0.896,51883,1
GO:0052330,"positive regulation by organism of programmed cell death in other organism involved in symbiotic interaction",0.007%,null,null,0.845,-1.9602,0.778,0.984,51883,1
GO:0051818,"disruption of cells of other organism involved in symbiotic interaction",0.025%,null,null,1.362,-2.9393,0.880,0.934,51883,1
GO:0060139,"positive regulation of apoptotic process by virus",0.007%,null,null,0.845,-1.9602,0.777,0.978,51883,1
GO:0044533,"positive regulation of apoptotic process in other organism",0.007%,null,null,0.845,-1.9602,0.785,0.984,51883,1
GO:0001907,"killing by symbiont of host cells",0.010%,null,null,1.000,-1.9602,0.879,0.949,51883,1
GO:0052042,"positive regulation by symbiont of host programmed cell death",0.007%,null,null,0.845,-1.9602,0.777,1.000,51883,1
GO:0052501,"positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction",0.007%,null,null,0.845,-1.9602,0.777,1.000,51883,1
GO:0019048,"modulation by virus of host morphology or physiology",0.033%,null,null,1.477,-1.9727,0.873,0.857,51883,1
GO:0044004,"disruption by symbiont of host cell",0.010%,null,null,1.000,-1.9602,0.884,0.949,51883,1
GO:0031640,"killing of cells of other organism",0.043%,null,null,1.591,-2.0114,0.873,0.965,51883,1
GO:0052151,"positive regulation by symbiont of host apoptotic process",0.007%,null,null,0.845,-1.9602,0.777,1.000,51883,1
GO:0044364,"disruption of cells of other organism",0.043%,null,null,1.591,-2.0114,0.883,0.842,51883,1
GO:0007010,"cytoskeleton organization",2.674%, 0.804, 0.733,3.371,-3.3979,0.934,0.054,7010,0
GO:0001768,"establishment of T cell polarity",0.010%, 0.043,-0.754,1.000,-1.9602,0.921,0.065,1768,0
GO:0006577,"amino-acid betaine metabolic process",0.038%,-1.396,-1.226,1.531,-2.2782,0.931,0.082,6577,0
GO:0009416,"response to light stimulus",0.655%,-0.581,-0.408,2.760,-2.6615,0.953,0.086,9416,0
GO:0007602,"phototransduction",0.145%,null,null,2.107,-1.9918,0.805,0.804,9416,1
GO:0009314,"response to radiation",0.915%,null,null,2.905,-2.0097,0.953,0.762,9416,1
GO:0006801,"superoxide metabolic process",0.140%,-0.283,-0.823,2.093,-2.1891,0.937,0.092,6801,0
GO:0042554,"superoxide anion generation",0.058%,null,null,1.716,-1.9531,0.941,0.789,6801,1
GO:0051336,"regulation of hydrolase activity",3.070%,-3.605,-2.788,3.431,-3.8861,0.819,0.092,51336,0
GO:0051345,"positive regulation of hydrolase activity",2.284%,null,null,3.302,-3.2596,0.818,0.768,51336,1
GO:0051606,"detection of stimulus",1.214%,-0.709,-0.007,3.028,-2.1096,0.962,0.093,51606,0
GO:0009628,"response to abiotic stimulus",2.264%,-1.381,-0.007,3.298,-3.5086,0.960,0.100,9628,0
GO:0030029,"actin filament-based process",1.610%,-0.613, 1.068,3.150,-2.9172,0.908,0.105,30029,0
GO:1901700,"response to oxygen-containing compound",3.064%,-1.721, 2.334,3.430,-2.4089,0.934,0.109,1901700,0
GO:0010033,"response to organic substance",6.118%,null,null,3.730,-2.5287,0.930,0.711,1901700,1
GO:0060370,"susceptibility to T cell mediated cytotoxicity",0.002%,-0.738, 0.524,0.477,-1.9602,0.906,0.141,60370,0
GO:0007154,"cell communication",17.535%,-1.512, 3.145,4.187,-6.0605,0.878,0.148,7154,0
GO:0050794,"regulation of cellular process",28.971%,-3.828, 0.656,4.405,-6.6778,0.869,0.149,50794,0
GO:0002860,"positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target",0.007%,-1.553,-0.894,0.845,-2.9393,0.845,0.150,2860,0
GO:0002423,"natural killer cell mediated immune response to tumor cell",0.007%,null,null,0.845,-2.9393,0.905,0.928,2860,1
GO:0002834,"regulation of response to tumor cell",0.009%,null,null,0.954,-2.3747,0.882,0.953,2860,1
GO:0002836,"positive regulation of response to tumor cell",0.009%,null,null,0.954,-2.3747,0.871,1.000,2860,1
GO:0002420,"natural killer cell mediated cytotoxicity directed against tumor cell target",0.007%,null,null,0.845,-2.9393,0.884,1.000,2860,1
GO:0002418,"immune response to tumor cell",0.014%,null,null,1.114,-2.3747,0.911,0.938,2860,1
GO:0002855,"regulation of natural killer cell mediated immune response to tumor cell",0.007%,null,null,0.845,-2.9393,0.864,1.000,2860,1
GO:0002858,"regulation of natural killer cell mediated cytotoxicity directed against tumor cell target",0.007%,null,null,0.845,-2.9393,0.850,1.000,2860,1
GO:0002857,"positive regulation of natural killer cell mediated immune response to tumor cell",0.007%,null,null,0.845,-2.9393,0.857,1.000,2860,1
GO:0002839,"positive regulation of immune response to tumor cell",0.009%,null,null,0.954,-2.3747,0.864,0.985,2860,1
GO:0002837,"regulation of immune response to tumor cell",0.009%,null,null,0.954,-2.3747,0.871,1.000,2860,1
GO:0042271,"susceptibility to natural killer cell mediated cytotoxicity",0.008%,null,null,0.903,-1.9602,0.873,0.854,2860,1
GO:0051716,"cellular response to stimulus",19.092%,-2.556, 1.215,4.224,-4.3665,0.906,0.154,51716,0
GO:0051239,"regulation of multicellular organismal process",5.506%,-2.936,-0.950,3.684,-5.1739,0.913,0.170,51239,0
GO:0048519,"negative regulation of biological process",8.588%,-3.491,-0.623,3.877,-3.2147,0.908,0.190,48519,0
GO:0042221,"response to chemical",8.684%,-1.876, 0.816,3.882,-3.6990,0.954,0.193,42221,0
GO:0042981,"regulation of apoptotic process",3.144%,-3.516, 4.820,3.441,-3.4559,0.760,0.232,42981,0
GO:2001235,"positive regulation of apoptotic signaling pathway",0.316%,null,null,2.444,-2.2907,0.726,0.787,42981,1
GO:0043069,"negative regulation of programmed cell death",1.726%,null,null,3.181,-2.0195,0.737,0.963,42981,1
GO:0043066,"negative regulation of apoptotic process",1.702%,null,null,3.175,-2.1662,0.737,0.888,42981,1
GO:0043067,"regulation of programmed cell death",3.163%,null,null,3.444,-3.5686,0.760,0.953,42981,1
GO:0012501,"programmed cell death",4.106%,null,null,3.557,-2.7122,0.840,0.927,42981,1
GO:0010941,"regulation of cell death",3.315%,null,null,3.464,-3.0044,0.764,0.864,42981,1
GO:0097191,"extrinsic apoptotic signaling pathway",0.531%,null,null,2.669,-3.2518,0.752,0.707,42981,1
GO:0097192,"extrinsic apoptotic signaling pathway in absence of ligand",0.226%,null,null,2.299,-2.6108,0.769,0.763,42981,1
GO:0006915,"apoptotic process",4.058%,null,null,3.552,-2.6757,0.838,0.919,42981,1
GO:0038166,"angiotensin-activated signaling pathway",0.014%,-2.709, 7.075,1.114,-1.9602,0.844,0.236,38166,0
GO:0019222,"regulation of metabolic process",17.756%,-3.493, 0.292,4.193,-3.2076,0.891,0.237,19222,0
GO:0097242,"beta-amyloid clearance",0.010%, 5.120,-0.336,1.000,-1.9602,0.854,0.247,97242,0
GO:0048583,"regulation of response to stimulus",26.518%,-4.310, 0.670,4.367,-6.0757,0.874,0.274,48583,0
GO:0002021,"response to dietary excess",0.036%, 5.765,-0.493,1.519,-2.0092,0.820,0.274,2021,0
GO:0032796,"uropod organization",0.008%, 1.099, 0.651,0.903,-1.9602,0.926,0.280,32796,0
GO:0090031,"positive regulation of steroid hormone biosynthetic process",0.016%,-4.597,-0.173,1.176,-2.3747,0.800,0.284,90031,0
GO:0032613,"interleukin-10 production",0.093%, 5.683,-0.605,1.919,-2.5482,0.824,0.298,32613,0
GO:0038034,"signal transduction in absence of ligand",0.226%,-2.803, 6.718,2.299,-2.6108,0.813,0.301,38034,0
GO:0006470,"protein dephosphorylation",0.717%,-1.740,-3.098,2.799,-3.0362,0.884,0.313,6470,0
GO:0035335,"peptidyl-tyrosine dephosphorylation",0.501%,null,null,2.644,-1.9590,0.887,0.831,6470,1
GO:0090088,"regulation of oligopeptide transport",0.003%, 0.234,-3.398,0.602,-1.9602,0.900,0.320,90088,0
GO:0090089,"regulation of dipeptide transport",0.003%,null,null,0.602,-1.9602,0.895,1.000,90088,1
GO:2001148,"regulation of dipeptide transmembrane transport",0.003%,null,null,0.602,-1.9602,0.845,1.000,90088,1
GO:2001150,"positive regulation of dipeptide transmembrane transport",0.003%,null,null,0.602,-1.9602,0.824,0.831,90088,1
GO:2000880,"positive regulation of dipeptide transport",0.003%,null,null,0.602,-1.9602,0.885,1.000,90088,1
GO:2000878,"positive regulation of oligopeptide transport",0.003%,null,null,0.602,-1.9602,0.886,1.000,90088,1
GO:0035442,"dipeptide transmembrane transport",0.003%,null,null,0.602,-1.9602,0.895,0.950,90088,1
GO:0042938,"dipeptide transport",0.006%,null,null,0.778,-1.9602,0.931,0.831,90088,1
GO:0035265,"organ growth",0.300%, 5.885,-0.248,2.422,-3.2291,0.809,0.334,35265,0
GO:0050789,"regulation of biological process",49.744%,-3.836, 0.893,4.640,-5.7959,0.887,0.337,50789,0
GO:0001678,"cellular glucose homeostasis",0.235%,-0.322,-1.192,2.316,-1.9918,0.874,0.337,1678,0
GO:0010909,"positive regulation of heparan sulfate proteoglycan biosynthetic process",0.002%,-3.689,-1.071,0.477,-1.9602,0.814,0.338,10909,0
GO:1902730,"positive regulation of proteoglycan biosynthetic process",0.002%,null,null,0.477,-1.9602,0.827,0.805,10909,1
GO:0010908,"regulation of heparan sulfate proteoglycan biosynthetic process",0.002%,null,null,0.477,-1.9602,0.833,0.740,10909,1
GO:0061549,"sympathetic ganglion development",0.021%, 6.054, 2.449,1.279,-2.3747,0.745,0.341,61549,0
GO:0016055,"Wnt signaling pathway",0.887%,-3.529, 7.070,2.892,-3.3468,0.782,0.347,16055,0
GO:0048584,"positive regulation of response to stimulus",22.389%,-4.718, 1.718,4.293,-2.2255,0.840,0.347,48584,0
GO:0009954,"proximal/distal pattern formation",0.088%, 5.997, 2.002,1.892,-3.2518,0.743,0.359,9954,0
GO:0003002,"regionalization",0.918%,null,null,2.907,-2.6556,0.693,0.754,9954,1
GO:0035282,"segmentation",0.244%,null,null,2.332,-2.3809,0.723,0.826,9954,1
GO:0009952,"anterior/posterior pattern specification",0.642%,null,null,2.751,-2.5331,0.701,0.908,9954,1
GO:0061548,"ganglion development",0.023%, 6.058, 2.437,1.322,-2.3747,0.743,0.360,61548,0
GO:0030382,"sperm mitochondrion organization",0.006%, 0.990, 0.432,0.778,-1.9602,0.957,0.368,30382,0
GO:0007267,"cell-cell signaling",2.522%,-2.393, 7.074,3.345,-2.5072,0.847,0.371,7267,0
GO:0035166,"post-embryonic hemopoiesis",0.010%, 5.821, 2.233,1.000,-2.9393,0.758,0.372,35166,0
GO:0033540,"fatty acid beta-oxidation using acyl-CoA oxidase",0.013%,-1.550,-2.826,1.079,-2.2277,0.886,0.377,33540,0
GO:0071526,"semaphorin-plexin signaling pathway",0.098%,-2.656, 6.909,1.940,-2.5482,0.820,0.378,71526,0
GO:0002543,"activation of blood coagulation via clotting cascade",0.002%, 4.750,-1.202,0.477,-1.9602,0.770,0.380,2543,0
