term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0019752,"carboxylic acid metabolic process",2.886%, 8.079, 1.316,3.404,-7.6198,0.646,0.000,19752,0
GO:0032787,"monocarboxylic acid metabolic process",1.329%,null,null,3.067,-5.8539,0.668,0.858,19752,1
GO:0072329,"monocarboxylic acid catabolic process",0.172%,null,null,2.182,-2.2807,0.655,0.914,19752,1
GO:0072330,"monocarboxylic acid biosynthetic process",0.430%,null,null,2.577,-1.4346,0.629,0.821,19752,1
GO:0016054,"organic acid catabolic process",0.449%,null,null,2.597,-3.8539,0.645,0.949,19752,1
GO:0046395,"carboxylic acid catabolic process",0.449%,null,null,2.597,-3.8539,0.642,0.754,19752,1
GO:0009062,"fatty acid catabolic process",0.140%,null,null,2.093,-1.6476,0.622,0.948,19752,1
GO:0009063,"cellular amino acid catabolic process",0.283%,null,null,2.396,-1.5674,0.635,0.955,19752,1
GO:0019395,"fatty acid oxidation",0.155%,null,null,2.137,-1.5459,0.652,0.968,19752,1
GO:0006520,"cellular amino acid metabolic process",1.579%,null,null,3.142,-1.5563,0.640,0.877,19752,1
GO:0043436,"oxoacid metabolic process",3.077%,null,null,3.432,-6.3468,0.645,0.958,19752,1
GO:0006090,"pyruvate metabolic process",0.378%,null,null,2.522,-3.2291,0.685,0.811,19752,1
GO:0006631,"fatty acid metabolic process",0.720%,null,null,2.801,-3.3872,0.629,0.796,19752,1
GO:0006635,"fatty acid beta-oxidation",0.108%,null,null,1.982,-2.1506,0.618,0.880,19752,1
GO:0046320,"regulation of fatty acid oxidation",0.056%,null,null,1.699,-1.5387,0.636,0.902,19752,1
GO:0043279,"response to alkaloid",0.450%,-1.255,-0.550,2.598,-2.8182,0.951,0.000,43279,0
GO:0006808,"regulation of nitrogen utilization",0.009%,-0.161, 1.347,0.954,-1.3951,0.961,0.015,6808,0
GO:0019740,"nitrogen utilization",0.009%,-0.217, 1.213,0.954,-1.3951,0.977,0.015,19740,0
GO:0006848,"pyruvate transport",0.010%,-2.605, 7.305,1.000,-4.1871,0.889,0.015,6848,0
GO:0032981,"mitochondrial respiratory chain complex I assembly",0.018%,-2.524, 1.672,1.230,-1.9642,0.924,0.034,32981,0
GO:0050999,"regulation of nitric-oxide synthase activity",0.060%, 0.460,-2.355,1.732,-3.9208,0.894,0.050,50999,0
GO:0032768,"regulation of monooxygenase activity",0.082%,null,null,1.863,-3.2291,0.892,0.907,50999,1
GO:0051001,"negative regulation of nitric-oxide synthase activity",0.016%,null,null,1.176,-1.8265,0.899,0.879,50999,1
GO:0010817,"regulation of hormone levels",1.029%,-1.138, 1.545,2.956,-2.5768,0.930,0.054,10817,0
GO:0033004,"negative regulation of mast cell activation",0.024%,-1.888,-2.900,1.342,-3.6021,0.835,0.073,33004,0
GO:0033003,"regulation of mast cell activation",0.065%,null,null,1.763,-2.8601,0.850,0.864,33004,1
GO:0033006,"regulation of mast cell activation involved in immune response",0.047%,null,null,1.623,-1.4141,0.845,0.957,33004,1
GO:0045576,"mast cell activation",0.114%,null,null,2.004,-2.2076,0.870,0.747,33004,1
GO:0002275,"myeloid cell activation involved in immune response",0.154%,null,null,2.134,-1.5572,0.860,0.852,33004,1
GO:0002279,"mast cell activation involved in immune response",0.081%,null,null,1.857,-1.8633,0.861,0.946,33004,1
GO:0043305,"negative regulation of mast cell degranulation",0.010%,null,null,1.000,-1.3951,0.762,0.837,33004,1
GO:0043304,"regulation of mast cell degranulation",0.041%,null,null,1.568,-1.5275,0.766,0.949,33004,1
GO:0043303,"mast cell degranulation",0.075%,null,null,1.826,-1.9642,0.782,0.932,33004,1
GO:0051156,"glucose 6-phosphate metabolic process",0.024%, 1.485, 1.061,1.342,-2.9281,0.851,0.084,51156,0
GO:0016925,"protein sumoylation",0.064%, 0.212,-1.314,1.756,-1.6082,0.893,0.092,16925,0
GO:0048539,"bone marrow development",0.008%,-4.149,-6.020,0.903,-2.0367,0.914,0.097,48539,0
GO:0072524,"pyridine-containing compound metabolic process",0.204%, 2.513, 0.432,2.255,-2.7670,0.829,0.103,72524,0
GO:0044710,"single-organism metabolic process",26.477%, 1.120, 1.369,4.366,-3.6021,0.898,0.112,44710,0
GO:0048385,"regulation of retinoic acid receptor signaling pathway",0.073%,-3.622,-0.750,1.813,-2.2013,0.870,0.113,48385,0
GO:0048384,"retinoic acid receptor signaling pathway",0.142%,null,null,2.100,-1.6101,0.873,0.719,48385,1
GO:0051186,"cofactor metabolic process",0.798%, 0.399, 0.454,2.846,-4.1739,0.892,0.119,51186,0
GO:0005975,"carbohydrate metabolic process",3.046%, 0.916, 0.509,3.427,-1.5619,0.887,0.138,5975,0
GO:0002504,"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",4.627%,-2.047,-1.219,3.609,-2.1649,0.966,0.152,2504,0
GO:0030638,"polyketide metabolic process",0.009%, 2.761, 0.663,0.954,-1.5275,0.861,0.152,30638,0
GO:0046149,"pigment catabolic process",0.010%, 4.838,-0.418,1.000,-3.2147,0.812,0.153,46149,0
GO:0050690,"regulation of defense response to virus by virus",0.033%,-2.337,-2.184,1.477,-1.9731,0.921,0.156,50690,0
GO:0051607,"defense response to virus",0.379%,null,null,2.524,-1.4152,0.934,0.765,50690,1
GO:0006091,"generation of precursor metabolites and energy",6.571%, 1.286, 0.720,3.761,-8.2757,0.868,0.160,6091,0
GO:0046184,"aldehyde biosynthetic process",0.021%, 5.001, 0.428,1.279,-2.0367,0.774,0.162,46184,0
GO:0019242,"methylglyoxal biosynthetic process",0.007%,null,null,0.845,-1.3951,0.787,0.757,46184,1
