term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0010817,"regulation of hormone levels",1.029%,-2.148,-2.707,2.956,-2.8601,0.857,0.000,10817,0
GO:0016339,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules",0.056%,-0.417, 1.043,1.699,-3.4815,0.987,0.000,16339,0
GO:0007156,"homophilic cell adhesion via plasma membrane adhesion molecules",0.489%,null,null,2.633,-3.0223,0.987,0.798,16339,1
GO:0019752,"carboxylic acid metabolic process",2.886%, 6.682, 2.410,3.404,-5.1871,0.747,0.000,19752,0
GO:0032787,"monocarboxylic acid metabolic process",1.329%,null,null,3.067,-4.1308,0.764,0.858,19752,1
GO:0072329,"monocarboxylic acid catabolic process",0.172%,null,null,2.182,-1.9179,0.766,0.914,19752,1
GO:0016054,"organic acid catabolic process",0.449%,null,null,2.597,-3.8861,0.753,0.949,19752,1
GO:0046395,"carboxylic acid catabolic process",0.449%,null,null,2.597,-3.8861,0.752,0.754,19752,1
GO:0009063,"cellular amino acid catabolic process",0.283%,null,null,2.396,-2.0516,0.749,0.955,19752,1
GO:0043436,"oxoacid metabolic process",3.077%,null,null,3.432,-4.1549,0.746,0.958,19752,1
GO:0006090,"pyruvate metabolic process",0.378%,null,null,2.522,-1.8395,0.784,0.811,19752,1
GO:0006631,"fatty acid metabolic process",0.720%,null,null,2.801,-2.5406,0.747,0.796,19752,1
GO:0040011,"locomotion",3.285%,-0.110, 0.302,3.460,-1.4252,0.994,0.000,40011,0
GO:0006848,"pyruvate transport",0.010%,-4.892, 6.128,1.000,-3.3468,0.835,0.015,6848,0
GO:0007588,"excretion",0.129%,-4.248,-5.618,2.057,-2.7375,0.893,0.019,7588,0
GO:0001935,"endothelial cell proliferation",0.163%,-0.617, 0.976,2.158,-1.4433,0.968,0.019,1935,0
GO:0001938,"positive regulation of endothelial cell proliferation",0.107%,null,null,1.978,-1.5569,0.886,0.742,1935,1
GO:0071276,"cellular response to cadmium ion",0.032%, 1.431,-1.128,1.462,-3.0044,0.913,0.036,71276,0
