term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0003183,"mitral valve morphogenesis",0.007%,-6.174,-2.118,0.845,-3.1135,0.754,0.000,3183,0
GO:0003192,"mitral valve formation",0.002%,null,null,0.477,-2.9172,0.762,0.931,3183,1
GO:0003171,"atrioventricular valve development",0.049%,null,null,1.643,-1.6469,0.733,0.975,3183,1
GO:0003188,"heart valve formation",0.030%,null,null,1.431,-2.8827,0.728,0.829,3183,1
GO:0003181,"atrioventricular valve morphogenesis",0.031%,null,null,1.447,-1.9488,0.734,0.903,3183,1
GO:0003180,"aortic valve morphogenesis",0.006%,null,null,0.778,-2.1605,0.758,0.756,3183,1
GO:0003179,"heart valve morphogenesis",0.066%,null,null,1.771,-1.7049,0.722,0.945,3183,1
GO:0003174,"mitral valve development",0.008%,null,null,0.903,-2.8827,0.759,0.801,3183,1
GO:0003176,"aortic valve development",0.013%,null,null,1.079,-2.1605,0.753,0.851,3183,1
GO:0006357,"regulation of transcription from RNA polymerase II promoter",3.684%, 4.674,-3.493,3.510,-6.8239,0.661,0.000,6357,0
GO:1902680,"positive regulation of RNA biosynthetic process",2.779%,null,null,3.387,-3.3188,0.648,0.966,6357,1
GO:1902679,"negative regulation of RNA biosynthetic process",2.216%,null,null,3.289,-2.7852,0.639,0.930,6357,1
GO:0031328,"positive regulation of cellular biosynthetic process",3.341%,null,null,3.467,-2.5719,0.672,0.900,6357,1
GO:0031327,"negative regulation of cellular biosynthetic process",2.588%,null,null,3.356,-2.3439,0.663,0.951,6357,1
GO:0051253,"negative regulation of RNA metabolic process",2.255%,null,null,3.297,-3.0044,0.657,0.954,6357,1
GO:0051254,"positive regulation of RNA metabolic process",2.813%,null,null,3.393,-3.9586,0.666,0.902,6357,1
GO:0045934,"negative regulation of nucleobase-containing compound metabolic process",2.434%,null,null,3.330,-2.6038,0.675,0.960,6357,1
GO:0045935,"positive regulation of nucleobase-containing compound metabolic process",3.128%,null,null,3.439,-3.4685,0.684,0.945,6357,1
GO:0045892,"negative regulation of transcription, DNA-templated",2.182%,null,null,3.282,-2.4001,0.638,0.971,6357,1
GO:0045893,"positive regulation of transcription, DNA-templated",2.722%,null,null,3.378,-3.4318,0.647,0.936,6357,1
GO:0045944,"positive regulation of transcription from RNA polymerase II promoter",2.089%,null,null,3.263,-4.3872,0.651,0.865,6357,1
GO:0010557,"positive regulation of macromolecule biosynthetic process",3.143%,null,null,3.441,-2.5560,0.706,0.954,6357,1
GO:0010558,"negative regulation of macromolecule biosynthetic process",2.484%,null,null,3.339,-2.0921,0.692,0.966,6357,1
GO:2000113,"negative regulation of cellular macromolecule biosynthetic process",2.396%,null,null,3.323,-1.7375,0.651,0.961,6357,1
GO:0000122,"negative regulation of transcription from RNA polymerase II promoter",1.564%,null,null,3.138,-3.1367,0.647,0.831,6357,1
GO:0007136,"meiotic prophase II",0.013%,-0.346,-0.108,1.079,-1.4587,0.994,0.000,7136,0
GO:0051412,"response to corticosterone",0.073%, 0.401, 2.231,1.813,-2.9626,0.963,0.000,51412,0
GO:0051385,"response to mineralocorticoid",0.088%,null,null,1.892,-2.6216,0.963,0.770,51412,1
GO:0065007,"biological regulation",51.216%,-0.239,-0.134,4.653,-2.4763,0.997,0.000,65007,0
GO:0042942,"D-serine transport",0.006%,-0.295, 0.283,0.778,-1.4587,0.978,0.010,42942,0
GO:0070889,"platelet alpha granule organization",0.009%, 0.617, 1.600,0.954,-2.9172,0.928,0.033,70889,0
GO:0007059,"chromosome segregation",0.438%,-0.158,-0.023,2.585,-2.6126,0.916,0.048,7059,0
GO:0009649,"entrainment of circadian clock",0.052%, 0.047, 1.694,1.672,-1.5318,0.931,0.065,9649,0
GO:0009314,"response to radiation",0.915%, 0.077, 0.611,2.905,-1.8661,0.965,0.066,9314,0
GO:0010212,"response to ionizing radiation",0.320%,null,null,2.450,-1.8645,0.967,0.709,9314,1
GO:0009612,"response to mechanical stimulus",0.422%,null,null,2.569,-1.5068,0.954,0.729,9314,1
GO:0002218,"activation of innate immune response",0.424%, 0.349, 4.927,2.572,-2.6180,0.808,0.080,2218,0
GO:0031349,"positive regulation of defense response",0.630%,null,null,2.744,-1.8693,0.839,0.867,2218,1
GO:0034134,"toll-like receptor 2 signaling pathway",0.117%,null,null,2.017,-1.6621,0.760,0.872,2218,1
GO:0034142,"toll-like receptor 4 signaling pathway",0.155%,null,null,2.137,-1.6260,0.755,0.892,2218,1
GO:0002221,"pattern recognition receptor signaling pathway",0.406%,null,null,2.553,-2.3063,0.737,0.970,2218,1
GO:0002224,"toll-like receptor signaling pathway",0.345%,null,null,2.483,-1.4651,0.740,0.981,2218,1
GO:0045088,"regulation of innate immune response",0.570%,null,null,2.700,-1.9987,0.831,0.835,2218,1
GO:0045089,"positive regulation of innate immune response",0.476%,null,null,2.622,-2.2426,0.815,0.951,2218,1
GO:0002755,"MyD88-dependent toll-like receptor signaling pathway",0.218%,null,null,2.283,-1.6319,0.749,0.918,2218,1
GO:0002757,"immune response-activating signal transduction",0.934%,null,null,2.914,-1.7652,0.750,0.891,2218,1
GO:0002758,"innate immune response-activating signal transduction",0.408%,null,null,2.555,-2.2807,0.737,0.988,2218,1
GO:0038124,"toll-like receptor TLR6:TLR2 signaling pathway",0.082%,null,null,1.863,-1.8248,0.766,0.847,2218,1
GO:0038123,"toll-like receptor TLR1:TLR2 signaling pathway",0.082%,null,null,1.863,-1.8248,0.766,0.847,2218,1
