term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006366,"transcription from RNA polymerase II promoter",3.963%,-6.466,-3.853,3.541,-8.5376,0.676,0.000,6366,0
GO:0006403,"RNA localization",0.263%, 1.295, 2.147,2.365,-3.1675,0.952,0.000,6403,0
GO:0008152,"metabolic process",54.733%, 0.508,-0.087,4.682,-2.3536,0.998,0.000,8152,0
GO:0032092,"positive regulation of protein binding",0.106%,-0.582, 0.739,1.973,-2.3936,0.878,0.000,32092,0
GO:1900120,"regulation of receptor binding",0.014%,null,null,1.114,-1.3417,0.900,0.765,32092,1
GO:1900121,"negative regulation of receptor binding",0.008%,null,null,0.903,-1.8576,0.903,0.739,32092,1
GO:0051099,"positive regulation of binding",0.197%,null,null,2.241,-2.0535,0.873,0.791,32092,1
GO:0060674,"placenta blood vessel development",0.082%, 5.373,-4.051,1.863,-3.0000,0.848,0.000,60674,0
GO:0001892,"embryonic placenta development",0.244%,null,null,2.332,-1.6180,0.827,0.860,60674,1
GO:0060711,"labyrinthine layer development",0.120%,null,null,2.025,-2.3936,0.834,0.793,60674,1
GO:0060716,"labyrinthine layer blood vessel development",0.049%,null,null,1.643,-2.5045,0.839,0.837,60674,1
GO:2000188,"regulation of cholesterol homeostasis",0.032%, 0.623,-0.063,1.462,-1.8706,0.930,0.044,2000188,0
GO:0031570,"DNA integrity checkpoint",0.317%, 0.470, 0.011,2.446,-1.6678,0.910,0.047,31570,0
GO:0000076,"DNA replication checkpoint",0.014%,null,null,1.114,-1.4851,0.932,0.726,31570,1
GO:0000077,"DNA damage checkpoint",0.305%,null,null,2.430,-1.4310,0.795,0.922,31570,1
GO:0050792,"regulation of viral process",0.191%,-0.551, 4.074,2.228,-2.3585,0.800,0.050,50792,0
GO:0048525,"negative regulation of viral process",0.082%,null,null,1.863,-1.6227,0.786,0.878,50792,1
GO:0048524,"positive regulation of viral process",0.080%,null,null,1.851,-1.8722,0.777,0.940,50792,1
GO:0032897,"negative regulation of viral transcription",0.010%,null,null,1.000,-2.0250,0.687,0.856,50792,1
GO:0046782,"regulation of viral transcription",0.079%,null,null,1.845,-2.5901,0.665,0.875,50792,1
GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",0.279%,null,null,2.391,-1.7830,0.872,0.862,50792,1
GO:0043902,"positive regulation of multi-organism process",0.101%,null,null,1.954,-1.5498,0.867,0.796,50792,1
GO:0043901,"negative regulation of multi-organism process",0.202%,null,null,2.250,-1.5839,0.850,0.866,50792,1
GO:0050434,"positive regulation of viral transcription",0.055%,null,null,1.690,-2.1325,0.643,0.852,50792,1
GO:0016568,"chromatin modification",1.536%, 0.920,-0.245,3.130,-2.4365,0.877,0.056,16568,0
GO:0006325,"chromatin organization",1.762%,null,null,3.189,-1.9000,0.877,0.894,16568,1
GO:0016577,"histone demethylation",0.361%,null,null,2.502,-1.4919,0.722,0.810,16568,1
GO:0016570,"histone modification",1.247%,null,null,3.039,-1.8642,0.690,0.927,16568,1
GO:0016569,"covalent chromatin modification",1.257%,null,null,3.043,-1.8952,0.878,0.939,16568,1
GO:0043966,"histone H3 acetylation",0.109%,null,null,1.987,-1.8368,0.741,0.722,16568,1
GO:0033554,"cellular response to stress",3.483%,-0.068, 6.435,3.485,-3.5376,0.798,0.063,33554,0
GO:0032259,"methylation",1.044%, 0.787,-0.206,2.962,-1.8630,0.934,0.070,32259,0
GO:0006807,"nitrogen compound metabolic process",26.566%,-1.510,-2.206,4.368,-5.3372,0.896,0.120,6807,0
GO:0019222,"regulation of metabolic process",17.756%,-1.742,-0.781,4.193,-3.2218,0.855,0.179,19222,0
GO:0009058,"biosynthetic process",19.017%,-1.249,-1.885,4.222,-2.6234,0.902,0.183,9058,0
GO:0061077,"chaperone-mediated protein folding",0.109%,-4.745,-3.232,1.987,-3.0000,0.819,0.202,61077,0
GO:0047496,"vesicle transport along microtubule",0.059%, 1.740, 3.064,1.724,-2.5045,0.878,0.202,47496,0
GO:0072384,"organelle transport along microtubule",0.097%,null,null,1.934,-1.5158,0.874,0.839,47496,1
GO:0048522,"positive regulation of cellular process",8.548%,-0.869, 5.332,3.875,-1.5253,0.789,0.202,48522,0
GO:0046483,"heterocycle metabolic process",24.799%,-3.892,-2.896,4.338,-7.2076,0.813,0.217,46483,0
GO:0043170,"macromolecule metabolic process",29.866%,-4.019,-3.672,4.418,-6.1805,0.838,0.219,43170,0
GO:0035246,"peptidyl-arginine N-methylation",0.016%,-3.805,-2.722,1.176,-2.4685,0.809,0.228,35246,0
GO:0018216,"peptidyl-arginine methylation",0.016%,null,null,1.176,-2.4685,0.809,0.943,35246,1
GO:0019919,"peptidyl-arginine methylation, to asymmetrical-dimethyl arginine",0.008%,null,null,0.903,-1.4851,0.817,0.962,35246,1
GO:0035247,"peptidyl-arginine omega-N-methylation",0.009%,null,null,0.954,-1.9674,0.815,0.969,35246,1
GO:0009110,"vitamin biosynthetic process",0.052%,-2.409,-0.728,1.672,-1.8265,0.822,0.256,9110,0
GO:0010957,"negative regulation of vitamin D biosynthetic process",0.005%,null,null,0.699,-1.3417,0.752,0.702,9110,1
GO:0060972,"left/right pattern formation",0.040%, 5.469,-3.818,1.556,-1.7080,0.884,0.260,60972,0
GO:0044238,"primary metabolic process",41.881%,-1.961,-2.290,4.565,-4.1612,0.886,0.262,44238,0
