term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006953,"acute-phase response",0.088%,-0.600,-1.614,1.892,-2.4510,0.974,0.000,6953,0
GO:0022904,"respiratory electron transport chain",4.683%, 5.952,-2.465,3.614,-20.2757,0.731,0.000,22904,0
GO:0009060,"aerobic respiration",1.407%,null,null,3.092,-4.2676,0.762,0.746,22904,1
GO:0045333,"cellular respiration",5.546%,null,null,3.687,-17.3872,0.727,0.896,22904,1
GO:0009126,"purine nucleoside monophosphate metabolic process",5.595%,null,null,3.691,-1.4257,0.646,0.939,22904,1
GO:0009167,"purine ribonucleoside monophosphate metabolic process",5.594%,null,null,3.691,-1.4257,0.646,0.856,22904,1
GO:0015980,"energy derivation by oxidation of organic compounds",5.874%,null,null,3.712,-13.4559,0.728,0.874,22904,1
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",1.163%,null,null,3.009,-10.6198,0.660,0.755,22904,1
GO:0006119,"oxidative phosphorylation",3.103%,null,null,3.435,-9.9586,0.635,0.779,22904,1
GO:0022900,"electron transport chain",5.048%,null,null,3.647,-20.0809,0.732,0.841,22904,1
GO:0042773,"ATP synthesis coupled electron transport",2.606%,null,null,3.359,-10.8861,0.635,0.845,22904,1
GO:0042775,"mitochondrial ATP synthesis coupled electron transport",1.190%,null,null,3.019,-10.8861,0.660,0.800,22904,1
GO:0019086,"late viral transcription",0.002%, 2.254,-0.785,0.477,-2.5229,0.865,0.073,19086,0
GO:0002335,"mature B cell differentiation",0.023%,-4.996, 5.044,1.322,-3.2840,0.815,0.076,2335,0
GO:0097050,"type B pancreatic cell apoptotic process",0.027%,-1.088,-3.074,1.398,-1.5706,0.907,0.077,97050,0
GO:0032006,"regulation of TOR signaling",0.103%,-3.734, 1.776,1.959,-3.0555,0.803,0.087,32006,0
GO:0032008,"positive regulation of TOR signaling",0.027%,null,null,1.398,-2.2388,0.802,0.876,32006,1
GO:0042743,"hydrogen peroxide metabolic process",0.089%,-0.341,-1.324,1.898,-1.3440,0.908,0.099,42743,0
GO:0046835,"carbohydrate phosphorylation",0.161%, 1.969,-2.333,2.152,-1.5074,0.850,0.105,46835,0
