term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002478,"antigen processing and presentation of exogenous peptide antigen",0.296%, 1.815,-2.964,2.417,-2.0814,0.968,0.000,2478,0
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",0.161%,null,null,2.152,-1.7418,0.968,0.943,2478,1
GO:0002480,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent",0.085%,null,null,1.881,-1.3295,0.969,0.946,2478,1
GO:0042590,"antigen processing and presentation of exogenous peptide antigen via MHC class I",0.166%,null,null,2.167,-1.9083,0.969,0.946,2478,1
GO:0022904,"respiratory electron transport chain",4.683%,-2.649, 1.760,3.614,-6.0044,0.825,0.000,22904,0
GO:0009060,"aerobic respiration",1.407%,null,null,3.092,-2.6696,0.845,0.746,22904,1
GO:0045333,"cellular respiration",5.546%,null,null,3.687,-5.8861,0.823,0.896,22904,1
GO:0015980,"energy derivation by oxidation of organic compounds",5.874%,null,null,3.712,-5.9208,0.823,0.863,22904,1
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",1.163%,null,null,3.009,-3.5376,0.810,0.755,22904,1
GO:0006119,"oxidative phosphorylation",3.103%,null,null,3.435,-3.1079,0.795,0.779,22904,1
GO:0022900,"electron transport chain",5.048%,null,null,3.647,-5.8539,0.826,0.874,22904,1
GO:0042773,"ATP synthesis coupled electron transport",2.606%,null,null,3.359,-3.6778,0.796,0.845,22904,1
GO:0042775,"mitochondrial ATP synthesis coupled electron transport",1.190%,null,null,3.019,-3.6778,0.809,0.800,22904,1
GO:0044699,"single-organism process",71.655%, 1.214, 0.291,4.799,-1.3617,0.998,0.000,44699,0
GO:0051179,"localization",18.927%, 0.096,-0.042,4.220,-2.2027,0.996,0.000,51179,0
GO:0051704,"multi-organism process",4.431%, 0.831, 0.225,3.590,-2.7721,0.995,0.000,51704,0
GO:0086001,"cardiac muscle cell action potential",0.122%, 1.259, 0.300,2.033,-2.5800,0.880,0.000,86001,0
GO:0032288,"myelin assembly",0.052%,null,null,1.672,-1.4086,0.711,0.783,86001,1
GO:0032292,"peripheral nervous system axon ensheathment",0.095%,null,null,1.924,-1.7020,0.744,0.815,86001,1
GO:0001508,"action potential",0.572%,null,null,2.702,-1.6792,0.869,0.766,86001,1
GO:0022011,"myelination in peripheral nervous system",0.095%,null,null,1.924,-1.7020,0.742,0.751,86001,1
GO:0007635,"chemosensory behavior",0.028%, 0.028,-2.972,1.415,-1.6341,0.934,0.017,7635,0
GO:0000041,"transition metal ion transport",0.287%, 5.841, 4.675,2.403,-3.5850,0.848,0.021,41,0
GO:0006941,"striated muscle contraction",0.336%, 0.414,-6.187,2.471,-2.7852,0.860,0.022,6941,0
GO:0003009,"skeletal muscle contraction",0.115%,null,null,2.009,-1.8758,0.863,0.785,6941,1
GO:0003011,"involuntary skeletal muscle contraction",0.008%,null,null,0.903,-1.4464,0.883,0.806,6941,1
GO:0014888,"striated muscle adaptation",0.066%,null,null,1.771,-1.6360,0.864,0.730,6941,1
GO:0014819,"regulation of skeletal muscle contraction",0.071%,null,null,1.799,-1.3018,0.835,0.931,6941,1
GO:0006942,"regulation of striated muscle contraction",0.206%,null,null,2.260,-1.8142,0.826,0.877,6941,1
GO:0006936,"muscle contraction",0.724%,null,null,2.803,-1.5421,0.853,0.895,6941,1
GO:0010166,"wax metabolic process",0.003%, 0.867, 0.232,0.602,-1.4464,0.972,0.041,10166,0
GO:0040034,"regulation of development, heterochronic",0.034%, 0.788,-4.444,1.491,-1.3018,0.937,0.044,40034,0
GO:0014823,"response to activity",0.126%, 0.248, 0.236,2.049,-1.5879,0.979,0.053,14823,0
GO:0016032,"viral process",0.955%, 0.635,-2.041,2.924,-2.3382,0.918,0.054,16032,0
GO:0044403,"symbiosis, encompassing mutualism through parasitism",1.105%,null,null,2.987,-2.4597,0.960,0.973,16032,1
GO:0010652,"positive regulation of cell communication by chemical coupling",0.006%,-2.883, 0.867,0.778,-1.4464,0.871,0.067,10652,0
GO:0010645,"regulation of cell communication by chemical coupling",0.006%,null,null,0.778,-1.4464,0.888,0.965,10652,1
GO:0051606,"detection of stimulus",1.214%, 0.155, 0.101,3.028,-1.4494,0.976,0.071,51606,0
GO:0005975,"carbohydrate metabolic process",3.046%,-0.733, 0.986,3.427,-1.6666,0.931,0.083,5975,0
GO:0019255,"glucose 1-phosphate metabolic process",0.018%,-2.240, 2.047,1.230,-1.4464,0.914,0.086,19255,0
