ensembl_gene_id,total_exon_length
ENSG00000223972,1752
ENSG00000227232,2060
ENSG00000243485,1018
ENSG00000237613,1216
ENSG00000268020,945
ENSG00000240361,939
ENSG00000186092,917
ENSG00000238009,3562
ENSG00000239945,1317
ENSG00000233750,3811
ENSG00000237683,2659
ENSG00000268903,754
ENSG00000269981,283
ENSG00000239906,321
ENSG00000241860,6185
ENSG00000222623,103
ENSG00000241599,455
ENSG00000228463,3947
ENSG00000241670,483
ENSG00000237094,6851
ENSG00000250575,1237
ENSG00000233653,2475
ENSG00000224813,179
ENSG00000235249,994
ENSG00000269732,362
ENSG00000256186,88
ENSG00000236601,633
ENSG00000236743,673
ENSG00000236679,384
ENSG00000231709,839
ENSG00000235146,633
ENSG00000239664,636
ENSG00000230021,1690
ENSG00000223659,799
ENSG00000225972,371
ENSG00000225630,1043
ENSG00000237973,1542
ENSG00000229344,681
ENSG00000240409,206
ENSG00000248527,680
ENSG00000198744,546
ENSG00000268663,423
ENSG00000185097,994
ENSG00000229376,2453
ENSG00000224956,1234
ENSG00000235373,4858
ENSG00000223181,103
ENSG00000240618,293
ENSG00000229905,454
ENSG00000228327,1310
ENSG00000237491,5503
ENSG00000230092,519
ENSG00000269831,126
ENSG00000240453,400
ENSG00000177757,1942
ENSG00000225880,1316
ENSG00000228794,8515
ENSG00000230368,1966
ENSG00000234711,1057
ENSG00000269308,54
ENSG00000272438,349
ENSG00000230699,3041
ENSG00000241180,441
ENSG00000223764,4151
ENSG00000187634,3191
ENSG00000268179,330
ENSG00000188976,5520
ENSG00000187961,3385
ENSG00000187583,2817
ENSG00000187642,3076
ENSG00000272512,2085
ENSG00000188290,1116
ENSG00000231702,153
ENSG00000224969,469
ENSG00000187608,709
ENSG00000188157,10718
ENSG00000242590,400
ENSG00000217801,2157
ENSG00000273443,827
ENSG00000237330,1900
ENSG00000131591,6312
ENSG00000223823,1617
ENSG00000207730,94
ENSG00000207607,89
ENSG00000198976,82
ENSG00000272141,986
ENSG00000205231,3530
ENSG00000162571,3926
ENSG00000186891,1365
ENSG00000186827,1716
ENSG00000078808,4702
ENSG00000176022,2792
ENSG00000184163,1789
ENSG00000260179,1557
ENSG00000160087,4701
ENSG00000230415,510
ENSG00000162572,4009
ENSG00000131584,8785
ENSG00000169972,2484
ENSG00000127054,8211
ENSG00000240731,384
